region,rank,crop,suitability_score,excellent_pct,good_pct,suitable_pct,moderate_pct,poor_pct,total_samples
Ayeyawaddy,1,dry_season_rice,93.93,76.56,22.84,99.4,0.6,0.0,133056
Ayeyawaddy,2,monsoon_rice,92.76,72.4,26.64,99.03,0.97,0.0,133056
Ayeyawaddy,3,groundnut,73.07,0.0,94.49,94.49,5.51,0.0,133056
Ayeyawaddy,4,black_gram,72.94,0.0,94.12,94.12,5.88,0.0,133056
Ayeyawaddy,5,green_gram,72.92,0.0,94.05,94.05,5.95,0.0,133056
Ayeyawaddy,6,chili,72.89,0.0,93.97,93.97,6.03,0.0,133056
Ayeyawaddy,7,sugarcane,72.24,0.0,92.11,92.11,7.89,0.0,133056
Ayeyawaddy,8,rubber,72.08,0.0,91.67,91.67,8.33,0.0,133056
Ayeyawaddy,9,maize,70.34,0.0,86.68,86.68,13.32,0.0,133056
Ayeyawaddy,10,sesame,47.81,0.0,24.85,24.85,72.92,2.23,133056
Ayeyawaddy,11,pigeon_pea,46.64,0.0,21.88,21.88,75.6,2.53,133056
Ayeyawaddy,12,mangosteen,46.18,0.0,22.92,22.92,72.47,4.61,133056
Ayeyawaddy,13,durian,43.18,0.0,14.36,14.36,81.03,4.61,133056
Ayeyawaddy,14,mango,42.36,0.0,10.57,10.57,86.09,3.35,133056
Ayeyawaddy,15,cassava,42.07,0.0,10.42,10.42,85.64,3.94,133056
Ayeyawaddy,16,longan,39.55,0.0,3.72,3.72,91.89,4.39,133056
Ayeyawaddy,17,tomato,31.88,0.0,0.0,0.0,79.69,20.31,133056
Bago,1,dry_season_rice,83.86,35.64,64.23,99.87,0.13,0.0,153351
Bago,2,monsoon_rice,81.78,28.73,70.11,98.84,1.16,0.0,153351
Bago,3,groundnut,71.36,0.0,89.61,89.61,10.39,0.0,153351
Bago,4,black_gram,71.18,0.0,89.09,89.09,10.91,0.0,153351
Bago,5,sugarcane,71.09,0.0,88.83,88.83,11.17,0.0,153351
Bago,6,chili,70.66,0.0,87.6,87.6,12.4,0.0,153351
Bago,7,green_gram,70.46,0.0,87.02,87.02,12.98,0.0,153351
Bago,8,rubber,70.16,0.0,86.18,86.18,13.82,0.0,153351
Bago,9,maize,65.8,0.0,73.72,73.72,26.28,0.0,153351
Bago,10,mangosteen,52.41,0.0,36.28,36.28,63.01,0.71,153351
Bago,11,durian,51.28,0.0,33.12,33.12,66.11,0.77,153351
Bago,12,pigeon_pea,47.05,0.0,20.72,20.72,78.76,0.52,153351
Bago,13,sesame,46.96,0.0,20.46,20.46,79.02,0.52,153351
Bago,14,cassava,44.69,0.0,14.14,14.14,85.22,0.65,153351
Bago,15,mango,44.53,0.0,13.69,13.69,85.67,0.65,153351
Bago,16,longan,42.18,0.0,7.1,7.1,92.12,0.77,153351
Bago,17,tomato,37.26,0.0,0.0,0.0,93.16,6.84,153351
Magway,1,chili,71.78,0.0,90.79,90.79,9.21,0.0,178100
Magway,2,black_gram,71.68,0.0,90.51,90.51,9.49,0.0,178100
Magway,3,groundnut,71.07,0.0,88.77,88.77,11.23,0.0,178100
Magway,4,green_gram,69.32,0.0,83.77,83.77,16.23,0.0,178100
Magway,5,maize,67.55,0.0,78.72,78.72,21.28,0.0,178100
Magway,6,cassava,67.12,0.0,77.48,77.48,22.52,0.0,178100
Magway,7,mango,66.98,0.0,77.09,77.09,22.91,0.0,178100
Magway,8,pigeon_pea,66.86,0.0,76.76,76.76,23.24,0.0,178100
Magway,9,sugarcane,66.82,0.0,76.64,76.64,23.36,0.0,178100
Magway,10,longan,66.73,0.0,76.36,76.36,23.64,0.0,178100
Magway,11,dry_season_rice,65.93,0.45,73.33,73.78,26.22,0.0,178100
Magway,12,sesame,64.55,0.0,70.15,70.15,29.85,0.0,178100
Magway,13,durian,59.57,0.0,55.92,55.92,44.08,0.0,178100
Magway,14,mangosteen,58.73,0.0,53.51,53.51,46.49,0.0,178100
Magway,15,tomato,58.69,0.0,53.4,53.4,46.6,0.0,178100
Magway,16,monsoon_rice,55.03,0.0,42.95,42.95,57.05,0.0,178100
Magway,17,rubber,50.0,0.0,28.58,28.58,71.42,0.0,178100
Mandalay,1,chili,71.37,0.0,89.61,89.61,10.39,0.0,151569
Mandalay,2,black_gram,70.93,0.0,88.37,88.37,11.63,0.0,151569
Mandalay,3,groundnut,70.43,0.0,86.94,86.94,13.06,0.0,151569
Mandalay,4,maize,69.26,0.0,83.61,83.61,16.39,0.0,151569
Mandalay,5,green_gram,69.12,0.0,83.21,83.21,16.79,0.0,151569
Mandalay,6,longan,67.02,0.0,77.2,77.2,22.8,0.0,151569
Mandalay,7,cassava,66.29,0.0,75.11,75.11,24.89,0.0,151569
Mandalay,8,mango,65.95,0.0,74.13,74.13,25.87,0.0,151569
Mandalay,9,dry_season_rice,64.76,0.0,70.74,70.74,29.26,0.0,151569
Mandalay,10,pigeon_pea,64.47,0.0,69.98,69.98,29.95,0.07,151569
Mandalay,11,sugarcane,64.34,0.0,69.56,69.56,30.44,0.0,151569
Mandalay,12,sesame,62.58,0.0,64.73,64.73,35.08,0.2,151569
Mandalay,13,tomato,61.88,0.0,62.51,62.51,37.49,0.0,151569
Mandalay,14,durian,54.49,0.0,41.48,41.48,58.46,0.07,151569
Mandalay,15,monsoon_rice,53.65,0.0,38.99,38.99,61.01,0.0,151569
Mandalay,16,mangosteen,53.05,0.0,37.36,37.36,62.57,0.07,151569
Mandalay,17,rubber,45.88,0.0,16.79,16.79,83.21,0.0,151569
Sagaing,1,chili,62.85,0.0,65.27,65.27,34.73,0.0,376600
Sagaing,2,cassava,62.45,0.0,64.52,64.52,35.13,0.35,376600
Sagaing,3,longan,62.42,0.0,64.54,64.54,35.04,0.42,376600
Sagaing,4,mango,62.12,0.0,63.62,63.62,36.01,0.37,376600
Sagaing,5,pigeon_pea,61.79,0.0,62.69,62.69,36.94,0.37,376600
Sagaing,6,black_gram,61.76,0.0,62.17,62.17,37.83,0.0,376600
Sagaing,7,sugarcane,61.69,0.0,61.98,61.98,38.02,0.0,376600
