feature,importance
cropland_fraction,0.570450385078418
distance_to_road_km,0.13444942749579433
non_cropland_fraction,0.11098610903140836
distance_to_railway_km,0.08428239481351413
solar_radiation_mj_m2_day_mean,0.030517595839542253
road_density_km_per_sqkm,0.0241184841314731
chirps_precipitation_mm_mean,0.017995114884733092
ndvi_median_growing_season_mean,0.004142378073486991
ndvi_median_mean,0.003961083014836538
ndwi_mcf_median_mean,0.003751216001590721
railway_density_km_per_sqkm,0.0018621813349015879
chirps_precipitation_mm_max,0.0018108077560337111
ndvi_median_max,0.0017946339650507718
s1_vv_db_median_mean,0.001765943477794764
chirps_precipitation_mm_range,0.0012119265012752033
valid_agriculture_mask,0.0008448180159955988
chirps_precipitation_mm_cv,0.0007471501675061985
s1_vh_db_median_mean,0.0007087301430178202
slope_degrees,0.0006607129593440112
permanent_water_fraction,0.0004749824415440611
ndwi_mcf_median_max,0.0003588057818765706
mean_temperature_c_min,0.00030646591260370903
solar_radiation_mj_m2_day_max,0.00028583810958593186
population_density,0.00028445195116259147
mean_temperature_c_mean,0.0002531279524343612
era5_soil_moisture_m3_m3_mean,0.00022071475459729464
ndvi_median_min,0.00021985347991878236
era5_soil_moisture_m3_m3_cv,0.00018546767030210845
mean_temperature_c_range,0.00016613390424894927
soil_sand_pct_0_30cm,0.0001596931684974003
distance_to_surface_water_m,0.00015247649757341316
mean_temperature_c_max,0.0001271403391695419
era5_soil_moisture_m3_m3_min,0.00010775347181138976
distance_to_river_km,9.360431020138198e-05
chirps_precipitation_mm_min,6.948742309664033e-05
soil_soc_g_kg_0_30cm,5.975582183892841e-05
soil_ph_h2o_0_30cm,4.780040779212561e-05
era5_soil_moisture_m3_m3_max,4.4486567978792356e-05
elevation_m,4.351455108641892e-05
soil_silt_pct_0_30cm,4.1151055020447636e-05
soil_clay_pct_0_30cm,4.101750105038126e-05
soil_cec_cmol_kg_0_30cm,3.708168362701606e-05
aspect_degrees,2.9569890951732575e-05
builtup_fraction,1.6380736933741988e-05
surface_water_occurrence_pct,1.6197475286214707e-05
river_density_km_per_sqkm,1.429823927207763e-05
urban_fraction,9.300034836951851e-06
crop_area_pct_sesame,6.928573283691495e-06
crop_area_pct_chili,6.7359384767785186e-06
crop_area_pct_tomato,6.664617056446189e-06
crop_area_pct_green_gram,5.39916621053599e-06
crop_area_pct_groundnut,5.3597522229332495e-06
crop_area_pct_monsoon_rice,4.480921730717129e-06
region_yangon,4.330967614107029e-06
crop_area_pct_pigeon_pea,4.016764446115464e-06
crop_area_pct_black_gram,3.6416739693547574e-06
crop_area_pct_rubber,3.5332752922435722e-06
crop_area_pct_mango,3.1464312759576183e-06
crop_area_pct_longan,2.8838100158810966e-06
crop_area_pct_cassava,2.7383958946865025e-06
crop_area_pct_sugarcane,2.53932322740802e-06
crop_area_pct_durian,2.0935226652696465e-06
crop_area_pct_maize,1.633005039602404e-06
crop_area_pct_mangosteen,1.5031231602924589e-06
crop_area_pct_dry_season_rice,1.3118810681023813e-06
region_bago,1.2733948960150055e-06
region_ayeyawaddy,1.2402945747053754e-06
region_mandalay,9.013478630150169e-07
solar_radiation_mj_m2_day,6.111807494797948e-17
mean_temperature_c,5.03828126690804e-17
data_month,4.8375658946710524e-17
chirps_precipitation_mm,4.0643348836028555e-17
surface_water_seasonality_months,0.0
region_magway,0.0
region_sagaing,0.0
