feature,importance
population_density,0.6427099357937692
non_cropland_fraction,0.1517948299954176
road_density_km_per_sqkm,0.07396025149006287
cropland_fraction,0.05379333686017747
urban_fraction,0.037023642271586936
builtup_fraction,0.0344919200409832
era5_soil_moisture_m3_m3_max,0.0014982222766971114
soil_silt_pct_0_30cm,0.0008159964110849547
distance_to_road_km,0.0005522485470009224
permanent_water_fraction,0.0004968744190100119
aspect_degrees,0.00027036945107502056
elevation_m,0.00023687932883004908
era5_soil_moisture_m3_m3_mean,0.00019738852419665386
distance_to_railway_km,0.00016342373919658054
soil_cec_cmol_kg_0_30cm,0.00015392981269119686
s1_vh_db_median_mean,0.0001393390242323364
soil_clay_pct_0_30cm,0.0001260992754372216
solar_radiation_mj_m2_day_mean,0.00012184090154072686
mean_temperature_c_range,0.00011787297821175221
mean_temperature_c_min,0.0001061861828336742
distance_to_river_km,0.00010559532805276241
mean_temperature_c_mean,9.644573610521926e-05
s1_vv_db_median_mean,9.013661109456478e-05
slope_degrees,8.607334825919806e-05
mean_temperature_c_max,7.891390294435001e-05
ndvi_median_max,7.737451692665737e-05
chirps_precipitation_mm_mean,7.680306171858822e-05
solar_radiation_mj_m2_day_max,7.175051881702577e-05
soil_soc_g_kg_0_30cm,6.0289203856989495e-05
era5_soil_moisture_m3_m3_min,5.022962657065795e-05
era5_soil_moisture_m3_m3_cv,4.8404327142200834e-05
railway_density_km_per_sqkm,4.778830580458867e-05
river_density_km_per_sqkm,4.6952196982276045e-05
soil_sand_pct_0_30cm,4.4262284903802045e-05
ndwi_mcf_median_mean,2.9421849877417375e-05
ndvi_median_mean,2.88773608034609e-05
soil_ph_h2o_0_30cm,2.0675536302028467e-05
ndvi_median_min,1.9657238865873843e-05
chirps_precipitation_mm_range,1.857484531942763e-05
crop_area_pct_sugarcane,1.78176907467106e-05
distance_to_surface_water_m,1.6762569863530455e-05
chirps_precipitation_mm_cv,1.4380306842883743e-05
chirps_precipitation_mm_min,1.1782466057863675e-05
ndwi_mcf_median_max,1.1476643801308519e-05
chirps_precipitation_mm_max,1.1306072572411672e-05
surface_water_occurrence_pct,1.029296119561576e-05
ndvi_median_growing_season_mean,1.0135708243580615e-05
crop_area_pct_mango,7.827778286682792e-06
crop_area_pct_longan,1.9275739829056843e-06
crop_area_pct_dry_season_rice,1.5773677287098752e-06
crop_area_pct_monsoon_rice,1.5420602826867167e-06
region_bago,1.5079631692246843e-06
crop_area_pct_chili,1.420256653234807e-06
crop_area_pct_tomato,1.3970178361820825e-06
crop_area_pct_maize,1.3193898453633502e-06
crop_area_pct_black_gram,1.207976361692297e-06
crop_area_pct_groundnut,1.079659813515975e-06
crop_area_pct_mangosteen,1.0690356622093457e-06
crop_area_pct_sesame,9.614655020263072e-07
crop_area_pct_cassava,9.09411469965338e-07
crop_area_pct_green_gram,9.014571412095519e-07
region_mandalay,6.273391244353663e-07
crop_area_pct_pigeon_pea,5.50946955173481e-07
crop_area_pct_rubber,5.27274488350986e-07
crop_area_pct_durian,4.828855087872169e-07
region_yangon,1.366156223753282e-07
valid_agriculture_mask,1.3063994296433201e-07
region_ayeyawaddy,7.465683218720204e-08
region_magway,4.6169210686263356e-08
mean_temperature_c,7.514873023978172e-09
solar_radiation_mj_m2_day,5.1525628418890236e-17
chirps_precipitation_mm,3.7930275622286103e-17
data_month,1.548526113620954e-17
surface_water_seasonality_months,0.0
region_sagaing,0.0
