feature,importance
population_density,0.5902169082028995
road_density_km_per_sqkm,0.2559829894117724
builtup_fraction,0.08009018227035615
urban_fraction,0.07203431004925041
distance_to_road_km,0.0005015670225049134
mean_temperature_c_range,9.407818652569236e-05
s1_vh_db_median_mean,6.129960168221754e-05
aspect_degrees,5.912809125428176e-05
soil_cec_cmol_kg_0_30cm,5.268299996247713e-05
soil_ph_h2o_0_30cm,5.152957304033967e-05
ndvi_median_max,4.733190892325279e-05
solar_radiation_mj_m2_day_mean,4.416917977393162e-05
distance_to_river_km,4.125044287631237e-05
s1_vv_db_median_mean,3.948304294704117e-05
elevation_m,3.897168805458568e-05
slope_degrees,3.760228708081535e-05
cropland_fraction,3.66341897407094e-05
permanent_water_fraction,3.640769336085156e-05
era5_soil_moisture_m3_m3_mean,3.223666075195636e-05
ndvi_median_growing_season_mean,2.9770688962746704e-05
mean_temperature_c_min,2.803324754301899e-05
era5_soil_moisture_m3_m3_min,2.6087112344196072e-05
distance_to_railway_km,2.4154083133356857e-05
river_density_km_per_sqkm,2.3674119043881253e-05
non_cropland_fraction,2.276132029650947e-05
chirps_precipitation_mm_cv,2.209481057025685e-05
soil_clay_pct_0_30cm,1.9816754066972653e-05
mean_temperature_c_max,1.861331610014226e-05
era5_soil_moisture_m3_m3_cv,1.855075954136956e-05
ndvi_median_mean,1.8175560154173847e-05
chirps_precipitation_mm_range,1.8132130553576086e-05
chirps_precipitation_mm_max,1.8083892560850255e-05
chirps_precipitation_mm_mean,1.686262183135423e-05
surface_water_occurrence_pct,1.5698232324065796e-05
chirps_precipitation_mm_min,1.5358700538303017e-05
solar_radiation_mj_m2_day_max,1.528267450537042e-05
soil_silt_pct_0_30cm,1.4740250758592831e-05
railway_density_km_per_sqkm,1.4480785605943212e-05
era5_soil_moisture_m3_m3_max,1.3997215236449864e-05
crop_area_pct_black_gram,1.2058257353642281e-05
ndwi_mcf_median_mean,1.1569605546665383e-05
mean_temperature_c_mean,8.64788061364353e-06
ndwi_mcf_median_max,8.627383910135379e-06
soil_sand_pct_0_30cm,6.81926530604107e-06
distance_to_surface_water_m,6.561133692923337e-06
ndvi_median_min,5.544844010485556e-06
crop_area_pct_groundnut,5.204577050329084e-06
crop_area_pct_tomato,5.067919292862894e-06
crop_area_pct_green_gram,4.778597185250655e-06
crop_area_pct_pigeon_pea,4.0450450095126814e-06
crop_area_pct_chili,3.8125305693557443e-06
crop_area_pct_mango,3.3489049298867937e-06
region_mandalay,3.1599748694824827e-06
crop_area_pct_sesame,2.963280153810925e-06
soil_soc_g_kg_0_30cm,2.6776524037328237e-06
crop_area_pct_monsoon_rice,1.949033256920346e-06
crop_area_pct_sugarcane,1.6626606356057643e-06
crop_area_pct_mangosteen,1.3963885836814597e-06
crop_area_pct_durian,1.3902755776590957e-06
region_sagaing,1.2803211671495903e-06
crop_area_pct_dry_season_rice,1.0376912633128611e-06
crop_area_pct_maize,9.592736965226597e-07
crop_area_pct_rubber,8.32236781998068e-07
crop_area_pct_longan,6.726429976451442e-07
crop_area_pct_cassava,4.0398033028301523e-07
valid_agriculture_mask,3.6009512803928963e-07
region_bago,2.0110114495170583e-08
region_yangon,1.4124105116293044e-08
region_magway,3.5360343232553148e-09
solar_radiation_mj_m2_day,1.6944324007715997e-16
mean_temperature_c,1.5203896481303756e-16
chirps_precipitation_mm,1.50647710684488e-16
data_month,1.1158111645320687e-16
surface_water_seasonality_months,0.0
region_ayeyawaddy,0.0
