feature,importance
ndvi_median_growing_season_mean,0.3059231990786854
ndvi_median_mean,0.27019801467624405
mean_temperature_c_min,0.1954832651575203
mean_temperature_c_range,0.047863922601541514
solar_radiation_mj_m2_day_max,0.03676083844955604
era5_soil_moisture_m3_m3_mean,0.03368432385159826
era5_soil_moisture_m3_m3_cv,0.02003910109618788
ndvi_median_max,0.01737045185313803
solar_radiation_mj_m2_day_mean,0.01447325076168394
era5_soil_moisture_m3_m3_min,0.008719373194803997
crop_area_pct_sesame,0.007658789586615995
ndwi_mcf_median_max,0.006682334159215856
crop_area_pct_green_gram,0.005899703507194992
mean_temperature_c_mean,0.004305886005329174
crop_area_pct_pigeon_pea,0.0035303110378376345
ndvi_median_min,0.003427784130868397
chirps_precipitation_mm_mean,0.002057310756934909
crop_area_pct_groundnut,0.0018842879097873573
crop_area_pct_maize,0.001798962772361266
soil_cec_cmol_kg_0_30cm,0.00177435585626455
era5_soil_moisture_m3_m3_max,0.001418011085243635
ndwi_mcf_median_mean,0.0013802266604878402
soil_soc_g_kg_0_30cm,0.0012220814567149658
chirps_precipitation_mm_max,0.0009864247556171696
chirps_precipitation_mm_range,0.0008807358073540597
distance_to_river_km,0.0008009708760380518
chirps_precipitation_mm_cv,0.000577953255575851
s1_vv_db_median_mean,0.0004566359571006216
elevation_m,0.0003950765133043374
soil_silt_pct_0_30cm,0.00034703331800279826
soil_sand_pct_0_30cm,0.00029984694156615793
permanent_water_fraction,0.00024955323448016756
distance_to_road_km,0.00024791013061561067
distance_to_railway_km,0.0002027337748906271
slope_degrees,0.0001645676275863036
mean_temperature_c_max,0.00012974113761475336
s1_vh_db_median_mean,0.0001233602397735742
soil_clay_pct_0_30cm,0.00011931191352433281
population_density,8.498206859221326e-05
cropland_fraction,6.93457731431255e-05
non_cropland_fraction,4.296884387862289e-05
crop_area_pct_sugarcane,3.821831946054979e-05
chirps_precipitation_mm_min,3.632395757854974e-05
distance_to_surface_water_m,3.0265618516377356e-05
soil_ph_h2o_0_30cm,2.572616301710813e-05
road_density_km_per_sqkm,2.401126517021165e-05
surface_water_occurrence_pct,1.921962847791388e-05
aspect_degrees,1.8015678639317267e-05
builtup_fraction,1.3635791161186419e-05
urban_fraction,1.0329415838437783e-05
river_density_km_per_sqkm,1.0282754539943663e-05
crop_area_pct_monsoon_rice,6.991151255207174e-06
crop_area_pct_dry_season_rice,6.512991463972761e-06
crop_area_pct_black_gram,5.10761772756003e-06
crop_area_pct_longan,4.4479880110470335e-06
crop_area_pct_rubber,3.2934097488382296e-06
region_sagaing,2.4759135300686538e-06
crop_area_pct_tomato,2.2969110601150884e-06
valid_agriculture_mask,2.0323263336603576e-06
crop_area_pct_cassava,1.434965858049031e-06
crop_area_pct_chili,1.02242586496674e-06
crop_area_pct_mango,8.684950395310763e-07
region_bago,6.07623610590384e-07
region_mandalay,5.962629528426521e-07
region_yangon,5.834560413117131e-07
crop_area_pct_durian,3.464640897617458e-07
crop_area_pct_mangosteen,2.969000141886036e-07
region_ayeyawaddy,1.1869051835407238e-07
data_month,2.436259211350181e-15
mean_temperature_c,1.6179081464666483e-15
chirps_precipitation_mm,1.1055154069262827e-15
solar_radiation_mj_m2_day,9.41583996835824e-16
surface_water_seasonality_months,0.0
railway_density_km_per_sqkm,0.0
region_magway,0.0
