feature,importance
surface_water_occurrence_pct,0.12307187028904305
solar_radiation_mj_m2_day_max,0.1167992688522026
era5_soil_moisture_m3_m3_cv,0.06895372814516547
solar_radiation_mj_m2_day_mean,0.06575859896455954
chirps_precipitation_mm_mean,0.05753997282759217
mean_temperature_c_range,0.03559911663480173
era5_soil_moisture_m3_m3_min,0.028782749764388296
elevation_m,0.028725923190898093
soil_cec_cmol_kg_0_30cm,0.026676805924841472
permanent_water_fraction,0.02646201199798205
mean_temperature_c_min,0.026114820746147707
soil_soc_g_kg_0_30cm,0.023784097440880343
chirps_precipitation_mm_range,0.022177714963634174
mean_temperature_c_max,0.019527670927133874
chirps_precipitation_mm_max,0.01915356685939193
era5_soil_moisture_m3_m3_max,0.018738403666293726
era5_soil_moisture_m3_m3_mean,0.018563865922789222
mean_temperature_c_mean,0.018105829126223653
distance_to_railway_km,0.01700160043417759
crop_area_pct_dry_season_rice,0.016452158153543544
crop_area_pct_maize,0.015789718490906903
crop_area_pct_pigeon_pea,0.014704598835300496
crop_area_pct_green_gram,0.013623971378429606
crop_area_pct_mangosteen,0.012992753903129919
crop_area_pct_groundnut,0.012745946732237416
crop_area_pct_monsoon_rice,0.00989114380458686
s1_vv_db_median_mean,0.009031905256053218
crop_area_pct_sesame,0.008714296592521317
crop_area_pct_black_gram,0.00794373194050943
distance_to_surface_water_m,0.007541876632737826
slope_degrees,0.007144413629626563
crop_area_pct_mango,0.006476397333543295
soil_ph_h2o_0_30cm,0.006176690462984398
crop_area_pct_durian,0.006091559455403745
ndvi_median_growing_season_mean,0.005923005236083957
ndwi_mcf_median_mean,0.005617229009582637
s1_vh_db_median_mean,0.00547335295083135
ndvi_median_mean,0.005272993342457816
chirps_precipitation_mm_cv,0.004679818475049258
ndvi_median_max,0.004625535479297112
chirps_precipitation_mm_min,0.004561854094475719
ndvi_median_min,0.0044682935785940545
distance_to_river_km,0.0044002045569147795
crop_area_pct_longan,0.004272138439970305
cropland_fraction,0.004170888086718188
ndwi_mcf_median_max,0.00379608233886482
non_cropland_fraction,0.0037509665631915413
crop_area_pct_tomato,0.003524830745869619
soil_sand_pct_0_30cm,0.0025617840131055766
soil_silt_pct_0_30cm,0.0020052316494618303
soil_clay_pct_0_30cm,0.001882587817824161
river_density_km_per_sqkm,0.0017678079804931167
population_density,0.001766591763539089
distance_to_road_km,0.0014996723598353062
aspect_degrees,0.0014614951152254379
builtup_fraction,0.0010381692715647436
urban_fraction,0.0008155541432272895
crop_area_pct_rubber,0.0007286299656834043
crop_area_pct_chili,0.0006129254328759293
region_sagaing,0.0005782927983655604
crop_area_pct_cassava,0.0005690074194679728
crop_area_pct_sugarcane,0.00029945739857392234
road_density_km_per_sqkm,0.0002720406630333947
region_ayeyawaddy,0.00018370984966801113
mean_temperature_c,0.0001627116744494057
region_mandalay,0.00010670997936340203
region_magway,9.012644014496051e-05
region_bago,7.178979346047105e-05
valid_agriculture_mask,6.982229698354863e-05
railway_density_km_per_sqkm,4.454894361248425e-05
region_yangon,7.435669622277922e-06
chirps_precipitation_mm,4.769319576976688e-06
solar_radiation_mj_m2_day,3.1560632795854103e-06
surface_water_seasonality_months,0.0
data_month,0.0
