feature,importance
mean_temperature_c_min,0.0979741713106801
mean_temperature_c_mean,0.08407022459165882
solar_radiation_mj_m2_day_max,0.08069696079405694
elevation_m,0.06996482501595727
era5_soil_moisture_m3_m3_cv,0.06037884984240635
solar_radiation_mj_m2_day_mean,0.05963847257435286
chirps_precipitation_mm_mean,0.05265838441364434
mean_temperature_c_max,0.052160810417464135
era5_soil_moisture_m3_m3_mean,0.03853205173117335
distance_to_railway_km,0.033251458128326646
era5_soil_moisture_m3_m3_min,0.029118778625916882
soil_ph_h2o_0_30cm,0.02870147318592259
ndwi_mcf_median_mean,0.020464901071381606
chirps_precipitation_mm_max,0.018447627011750272
chirps_precipitation_mm_range,0.017563464924592386
ndvi_median_mean,0.01601448664334942
ndvi_median_growing_season_mean,0.015646990585127796
slope_degrees,0.013761178294424017
s1_vv_db_median_mean,0.011759564677740073
distance_to_surface_water_m,0.011639336754668992
era5_soil_moisture_m3_m3_max,0.011519304168931734
chirps_precipitation_mm_min,0.011106554346500779
cropland_fraction,0.010594988619345633
distance_to_river_km,0.009499657032585996
s1_vh_db_median_mean,0.009022763046655894
mean_temperature_c_range,0.008054236318425285
ndvi_median_max,0.007969041493848202
soil_soc_g_kg_0_30cm,0.00788758548263434
chirps_precipitation_mm_cv,0.007421754080805013
soil_sand_pct_0_30cm,0.00664701282177134
soil_cec_cmol_kg_0_30cm,0.005951960680921836
non_cropland_fraction,0.005698949827988356
river_density_km_per_sqkm,0.0051248041366695925
surface_water_occurrence_pct,0.0048865424052300065
soil_silt_pct_0_30cm,0.004626952280531992
crop_area_pct_green_gram,0.004544318931930067
crop_area_pct_groundnut,0.004195476030248685
crop_area_pct_dry_season_rice,0.003995203648871592
crop_area_pct_pigeon_pea,0.003844820600997956
urban_fraction,0.0033922642578707233
aspect_degrees,0.003241285191698236
crop_area_pct_black_gram,0.002944117519192754
crop_area_pct_durian,0.0029084700956904038
population_density,0.0028149543598040166
distance_to_road_km,0.0025700104816641658
soil_clay_pct_0_30cm,0.002467753691776292
crop_area_pct_sugarcane,0.002382004517493827
crop_area_pct_rubber,0.0023177390726686186
crop_area_pct_longan,0.0022710457687254164
mean_temperature_c,0.0022601806759992168
valid_agriculture_mask,0.0022107604751942234
ndvi_median_min,0.0021606231092755872
builtup_fraction,0.002159288929028591
crop_area_pct_mangosteen,0.00207861318928743
crop_area_pct_maize,0.0019605161789443427
ndwi_mcf_median_max,0.0018606779324672465
permanent_water_fraction,0.0017137053092232003
crop_area_pct_sesame,0.0017051652050122544
crop_area_pct_monsoon_rice,0.0015809919894767077
crop_area_pct_mango,0.0014406608530425332
region_sagaing,0.0011962246430444762
crop_area_pct_tomato,0.0009292821518469854
region_bago,0.000875409624735328
crop_area_pct_chili,0.0008490018172633523
crop_area_pct_cassava,0.000638890083542097
road_density_km_per_sqkm,0.0005735216807734239
region_magway,0.0004885248009680123
region_ayeyawaddy,0.0003890010766338945
railway_density_km_per_sqkm,0.0002777310232632689
region_mandalay,0.00022463513314831485
region_yangon,7.43138815722526e-05
solar_radiation_mj_m2_day,3.943821678925301e-06
chirps_precipitation_mm,2.7549085047406427e-06
surface_water_seasonality_months,0.0
data_month,0.0
