feature,importance
elevation_m,0.10523738522241338
mean_temperature_c_min,0.06514378520305412
crop_area_pct_mangosteen,0.04381385231118507
crop_area_pct_monsoon_rice,0.04049257497249201
crop_area_pct_maize,0.040187007852496126
crop_area_pct_groundnut,0.034145953767231535
crop_area_pct_black_gram,0.032240777197345395
crop_area_pct_green_gram,0.032235090359447355
crop_area_pct_sesame,0.03174156222496192
crop_area_pct_pigeon_pea,0.02848339517833393
solar_radiation_mj_m2_day_mean,0.026312897079532507
mean_temperature_c_max,0.025677777369941115
solar_radiation_mj_m2_day_max,0.023122809165364307
mean_temperature_c_range,0.022535297653677344
crop_area_pct_dry_season_rice,0.022526874691297823
chirps_precipitation_mm_mean,0.02151137256894636
mean_temperature_c_mean,0.021280144552431043
era5_soil_moisture_m3_m3_cv,0.020801287886486906
soil_ph_h2o_0_30cm,0.02043779660317264
era5_soil_moisture_m3_m3_mean,0.02021936374265966
population_density,0.01789467421646855
soil_cec_cmol_kg_0_30cm,0.017791667619234005
ndvi_median_growing_season_mean,0.016397826524784376
ndvi_median_mean,0.013763909602275607
cropland_fraction,0.011706616253108183
s1_vv_db_median_mean,0.011406445285763797
s1_vh_db_median_mean,0.011401181524106336
surface_water_occurrence_pct,0.011380580649190753
distance_to_railway_km,0.010978965250491744
distance_to_surface_water_m,0.01095367982272784
slope_degrees,0.010793241229008474
ndwi_mcf_median_mean,0.01057190774961323
era5_soil_moisture_m3_m3_max,0.010528761844805107
crop_area_pct_durian,0.010377997834603745
distance_to_river_km,0.009265541007951007
chirps_precipitation_mm_max,0.008909286597832378
soil_sand_pct_0_30cm,0.008682895825187905
non_cropland_fraction,0.008594798555369392
crop_area_pct_tomato,0.00855718153186768
soil_soc_g_kg_0_30cm,0.008086744596787291
crop_area_pct_mango,0.007914982425222759
ndvi_median_max,0.00758126537081729
chirps_precipitation_mm_range,0.007484042342783258
chirps_precipitation_mm_min,0.007131307791453292
crop_area_pct_longan,0.006731251463161321
river_density_km_per_sqkm,0.006507188817787121
era5_soil_moisture_m3_m3_min,0.0062279495781455575
builtup_fraction,0.005232268978704038
urban_fraction,0.005146678334475847
permanent_water_fraction,0.004379041306779772
valid_agriculture_mask,0.0041944572515534165
chirps_precipitation_mm_cv,0.003968357184388383
ndvi_median_min,0.0038132837696363974
ndwi_mcf_median_max,0.0036440705194615668
distance_to_road_km,0.003501382232800473
soil_silt_pct_0_30cm,0.0032039400505736743
soil_clay_pct_0_30cm,0.001810090240644088
crop_area_pct_rubber,0.001658101523186277
aspect_degrees,0.0008988442187319531
crop_area_pct_chili,0.0007088559622725923
region_bago,0.0003586314490617157
crop_area_pct_cassava,0.00031302319848243513
crop_area_pct_sugarcane,0.0003121250123845083
road_density_km_per_sqkm,0.00029337425550816134
railway_density_km_per_sqkm,0.0002053044083263271
solar_radiation_mj_m2_day,0.0001528364652194016
region_mandalay,0.00013032248598085353
region_magway,9.255086585175721e-05
mean_temperature_c,7.449090658222867e-05
region_ayeyawaddy,6.166723926691922e-05
region_yangon,4.166863926254963e-05
region_sagaing,3.547551178331848e-05
chirps_precipitation_mm,2.6107606277704125e-07
surface_water_seasonality_months,0.0
data_month,0.0
