feature,importance
surface_water_occurrence_pct,0.11902387725351823
chirps_precipitation_mm_mean,0.09661553826419741
solar_radiation_mj_m2_day_max,0.08506414870847977
era5_soil_moisture_m3_m3_cv,0.057323141369047835
solar_radiation_mj_m2_day_mean,0.04762001937115036
chirps_precipitation_mm_max,0.0346915049948177
era5_soil_moisture_m3_m3_mean,0.03429002454796815
chirps_precipitation_mm_range,0.0322005567476384
era5_soil_moisture_m3_m3_min,0.02905784781795162
mean_temperature_c_max,0.028179331898680784
soil_soc_g_kg_0_30cm,0.027362424413674296
soil_cec_cmol_kg_0_30cm,0.026202735715355568
permanent_water_fraction,0.026040672791162508
elevation_m,0.024841616855792524
mean_temperature_c_min,0.024079110234248104
ndvi_median_growing_season_mean,0.023932674967477516
ndvi_median_mean,0.02234546789474934
mean_temperature_c_range,0.019034479444784643
ndwi_mcf_median_mean,0.01865843350797601
distance_to_railway_km,0.017520335554744894
mean_temperature_c_mean,0.015000820882871878
era5_soil_moisture_m3_m3_max,0.014696704903468432
ndvi_median_max,0.013136241573906138
s1_vv_db_median_mean,0.012649325867050759
s1_vh_db_median_mean,0.012573646281345583
non_cropland_fraction,0.01002293033511461
population_density,0.008799347853376634
cropland_fraction,0.00763058625668404
distance_to_surface_water_m,0.0074966315159328365
soil_ph_h2o_0_30cm,0.0073552585514343564
crop_area_pct_maize,0.006945264174955647
chirps_precipitation_mm_min,0.0057295191848585995
crop_area_pct_black_gram,0.005569214709618465
crop_area_pct_mangosteen,0.004799372023004496
crop_area_pct_sesame,0.004783861660694425
distance_to_river_km,0.004778852585107063
slope_degrees,0.004743769157184503
chirps_precipitation_mm_cv,0.0045882570535762885
ndwi_mcf_median_max,0.004552845117631655
crop_area_pct_green_gram,0.00423667883442252
crop_area_pct_monsoon_rice,0.004121208605566947
ndvi_median_min,0.00342158660208178
soil_sand_pct_0_30cm,0.003332162301741926
crop_area_pct_pigeon_pea,0.0031535185216810457
crop_area_pct_dry_season_rice,0.0026542323613176046
urban_fraction,0.002583927359127184
soil_clay_pct_0_30cm,0.0025675253415020447
river_density_km_per_sqkm,0.002434847925255488
crop_area_pct_longan,0.002416309208625422
crop_area_pct_sugarcane,0.0022823172860697953
builtup_fraction,0.0019035721060815553
crop_area_pct_groundnut,0.0018230733916661742
crop_area_pct_durian,0.0017090152318326127
distance_to_road_km,0.0015476364818663739
crop_area_pct_tomato,0.0015327773255215732
soil_silt_pct_0_30cm,0.0015212489985912275
aspect_degrees,0.0014664632463091277
crop_area_pct_mango,0.0011594185578488203
valid_agriculture_mask,0.0006699451505635052
crop_area_pct_rubber,0.0006588208687973339
crop_area_pct_cassava,0.000564384663772866
road_density_km_per_sqkm,0.0004165222414672244
region_sagaing,0.00038131648218642597
crop_area_pct_chili,0.000377421458449825
railway_density_km_per_sqkm,0.00030427686368265027
region_magway,0.0002997955459693681
region_bago,0.00019433518423154223
region_ayeyawaddy,0.00014579011031822122
mean_temperature_c,0.00011175464759237544
region_mandalay,4.3312182978482106e-05
region_yangon,2.350377247794587e-05
chirps_precipitation_mm,2.6329774108428757e-06
solar_radiation_mj_m2_day,1.624646518250627e-06
data_month,6.514752419634617e-07
surface_water_seasonality_months,0.0
