feature,importance
mean_temperature_c_mean,0.1012720761159675
mean_temperature_c_min,0.10113357658776259
solar_radiation_mj_m2_day_max,0.07594209655435581
elevation_m,0.07443171472164674
era5_soil_moisture_m3_m3_cv,0.07129542688240441
solar_radiation_mj_m2_day_mean,0.05122034807944329
mean_temperature_c_max,0.04666980573591971
soil_ph_h2o_0_30cm,0.04555779685998209
era5_soil_moisture_m3_m3_mean,0.044058387614523985
era5_soil_moisture_m3_m3_min,0.029985644287267577
chirps_precipitation_mm_mean,0.028692163390252014
s1_vv_db_median_mean,0.020042675195175236
ndwi_mcf_median_mean,0.01869214766610138
slope_degrees,0.018225018454009492
chirps_precipitation_mm_min,0.01706731035559662
ndvi_median_growing_season_mean,0.015702737698598875
ndvi_median_mean,0.015311044793104472
chirps_precipitation_mm_max,0.01460399007235261
cropland_fraction,0.011662742803355141
chirps_precipitation_mm_range,0.01156907502905985
mean_temperature_c_range,0.01077769558855158
chirps_precipitation_mm_cv,0.009560195742412295
soil_cec_cmol_kg_0_30cm,0.009298341176925
era5_soil_moisture_m3_m3_max,0.00925115787318384
soil_soc_g_kg_0_30cm,0.009034820279290394
distance_to_railway_km,0.00881937938741647
ndvi_median_max,0.008084459041112624
non_cropland_fraction,0.007966488291228792
s1_vh_db_median_mean,0.0076406530359068685
crop_area_pct_pigeon_pea,0.0073186831758570055
distance_to_surface_water_m,0.006073515646996558
crop_area_pct_durian,0.005373066639536062
distance_to_river_km,0.005064681934780336
population_density,0.004716903233531234
crop_area_pct_black_gram,0.00448812478619933
crop_area_pct_maize,0.00430248007065767
crop_area_pct_green_gram,0.004201265798931385
urban_fraction,0.0041541349313974135
river_density_km_per_sqkm,0.003537665807407517
crop_area_pct_groundnut,0.003499510347161033
crop_area_pct_dry_season_rice,0.003497709497597191
soil_sand_pct_0_30cm,0.003407487814409085
surface_water_occurrence_pct,0.003227583857832349
mean_temperature_c,0.0030945472721965158
soil_silt_pct_0_30cm,0.0030306263459851956
valid_agriculture_mask,0.0028807582079143773
builtup_fraction,0.0028672176647271392
aspect_degrees,0.0028567417775510846
soil_clay_pct_0_30cm,0.002659827522063307
crop_area_pct_mangosteen,0.0026415659924643674
region_sagaing,0.002472801192425894
crop_area_pct_sesame,0.002100942523577448
ndvi_median_min,0.001997266799041919
distance_to_road_km,0.0017736038434566352
ndwi_mcf_median_max,0.0017173497672807233
region_ayeyawaddy,0.0016433775396652735
crop_area_pct_monsoon_rice,0.001494640732664316
crop_area_pct_mango,0.0012950060249327714
crop_area_pct_rubber,0.001187358955370451
crop_area_pct_chili,0.0011316554744164441
crop_area_pct_cassava,0.001098868676830421
permanent_water_fraction,0.00107479055383668
crop_area_pct_sugarcane,0.001055628525811314
crop_area_pct_tomato,0.0009886343749701944
crop_area_pct_longan,0.0007003986725762458
region_bago,0.0004621923245406199
railway_density_km_per_sqkm,0.0003780187561070355
road_density_km_per_sqkm,0.0003703219941408999
region_mandalay,0.00025066308947239345
region_magway,0.00017152222432498108
region_yangon,8.891749840128577e-05
solar_radiation_mj_m2_day,8.243559356224506e-05
chirps_precipitation_mm,4.6809441780664233e-07
data_month,6.913007260828293e-08
surface_water_seasonality_months,0.0
