feature,importance
surface_water_occurrence_pct,0.13470101932239087
solar_radiation_mj_m2_day_max,0.08246197798670765
era5_soil_moisture_m3_m3_cv,0.062220364236537644
chirps_precipitation_mm_mean,0.055410770181291154
solar_radiation_mj_m2_day_mean,0.05540755147898709
permanent_water_fraction,0.03109189571113724
mean_temperature_c_min,0.0304462325631279
chirps_precipitation_mm_range,0.027270884099867908
soil_soc_g_kg_0_30cm,0.026291479668080743
soil_cec_cmol_kg_0_30cm,0.025921532251115195
era5_soil_moisture_m3_m3_min,0.025877639490833645
mean_temperature_c_range,0.024792928240800056
crop_area_pct_mangosteen,0.02459368364039321
era5_soil_moisture_m3_m3_mean,0.02412631859536957
era5_soil_moisture_m3_m3_max,0.023041826666538277
chirps_precipitation_mm_max,0.022601844938334933
mean_temperature_c_max,0.0220479932872809
crop_area_pct_green_gram,0.02197618626503041
elevation_m,0.021498492148119816
mean_temperature_c_mean,0.02121695839075815
crop_area_pct_pigeon_pea,0.01588207362848075
crop_area_pct_black_gram,0.015226845343739765
crop_area_pct_maize,0.013742483115754012
distance_to_railway_km,0.013482294870663013
crop_area_pct_sesame,0.01326082840827096
crop_area_pct_groundnut,0.013189158026356174
crop_area_pct_dry_season_rice,0.009961323675565468
crop_area_pct_monsoon_rice,0.009873931493251246
crop_area_pct_mango,0.009348095786687651
distance_to_surface_water_m,0.00916660523993884
ndvi_median_growing_season_mean,0.00816405697003425
crop_area_pct_durian,0.0071537125254932995
soil_ph_h2o_0_30cm,0.0071028183767884315
s1_vv_db_median_mean,0.006361443059792186
crop_area_pct_longan,0.00630003062928738
s1_vh_db_median_mean,0.005937472192192244
crop_area_pct_tomato,0.005654187858627512
ndvi_median_mean,0.005607924504775511
ndwi_mcf_median_mean,0.00535630681926204
slope_degrees,0.005057040783284967
chirps_precipitation_mm_cv,0.00492211743272214
chirps_precipitation_mm_min,0.004919223738347742
ndvi_median_max,0.004524188776488266
non_cropland_fraction,0.004243668574586685
ndvi_median_min,0.0035865393218648136
cropland_fraction,0.0034924473034378843
distance_to_river_km,0.003008965143287008
soil_sand_pct_0_30cm,0.0025504210792994227
river_density_km_per_sqkm,0.002097259968828296
ndwi_mcf_median_max,0.0020107768600313354
soil_clay_pct_0_30cm,0.0018987020058829815
population_density,0.0015619709160556538
soil_silt_pct_0_30cm,0.001561301266469857
distance_to_road_km,0.0014806762281871983
road_density_km_per_sqkm,0.0014698174823855792
aspect_degrees,0.0013295478075958367
urban_fraction,0.001042461733592214
railway_density_km_per_sqkm,0.0008625924810482408
builtup_fraction,0.0007767641239936315
crop_area_pct_chili,0.0007632859071325859
crop_area_pct_sugarcane,0.0005824985764558688
region_sagaing,0.0005357409792607462
region_mandalay,0.0004828039739507335
crop_area_pct_cassava,0.0003356151532940054
region_bago,0.0003247605270365931
mean_temperature_c,0.00029576781346500825
region_yangon,0.00020355270121361784
crop_area_pct_rubber,0.00016876026390291333
region_ayeyawaddy,5.5781663512583676e-05
region_magway,5.2883317600589506e-05
valid_agriculture_mask,2.8182947644913853e-05
solar_radiation_mj_m2_day,2.906097720900329e-06
chirps_precipitation_mm,1.8053627560693687e-06
surface_water_seasonality_months,0.0
data_month,0.0
