feature,importance
mean_temperature_c_mean,0.09221209618047403
mean_temperature_c_min,0.0833081484949966
solar_radiation_mj_m2_day_max,0.08190175593190853
chirps_precipitation_mm_mean,0.07101179011905052
solar_radiation_mj_m2_day_mean,0.051946045609284265
era5_soil_moisture_m3_m3_mean,0.05010850511661213
era5_soil_moisture_m3_m3_cv,0.04683795540543741
elevation_m,0.04340789256149416
mean_temperature_c_max,0.03858731507970182
era5_soil_moisture_m3_m3_min,0.03350679721191979
chirps_precipitation_mm_range,0.029441881609686124
soil_ph_h2o_0_30cm,0.02835777229263708
chirps_precipitation_mm_max,0.023937491788412976
ndvi_median_growing_season_mean,0.022888818731846797
ndvi_median_mean,0.02002833876159875
ndwi_mcf_median_mean,0.0191729998383287
distance_to_railway_km,0.01859376067853511
era5_soil_moisture_m3_m3_max,0.01670415709528851
s1_vv_db_median_mean,0.014148732919443949
chirps_precipitation_mm_min,0.011305028328419689
crop_area_pct_green_gram,0.009908107486720646
slope_degrees,0.00962778363531682
mean_temperature_c_range,0.009377570739441517
ndvi_median_max,0.008534773960635554
chirps_precipitation_mm_cv,0.008153111245302526
surface_water_occurrence_pct,0.007950640023283244
soil_soc_g_kg_0_30cm,0.007682719470018675
s1_vh_db_median_mean,0.007508941134709608
distance_to_surface_water_m,0.006880063053460969
non_cropland_fraction,0.006505830810642314
soil_cec_cmol_kg_0_30cm,0.0064134436375135
soil_sand_pct_0_30cm,0.0058367761391919
distance_to_river_km,0.005663953792546976
cropland_fraction,0.005335448464113608
region_sagaing,0.005237788066189039
crop_area_pct_maize,0.005172678533528197
crop_area_pct_longan,0.005160634646767331
soil_silt_pct_0_30cm,0.005115168999823156
crop_area_pct_pigeon_pea,0.00478859288097798
ndvi_median_min,0.004656326279771954
crop_area_pct_sesame,0.004539851246777229
crop_area_pct_dry_season_rice,0.004243441291413655
crop_area_pct_sugarcane,0.00415939473372492
crop_area_pct_monsoon_rice,0.0040303334596178434
region_ayeyawaddy,0.004021439163000562
ndwi_mcf_median_max,0.003780556233228493
river_density_km_per_sqkm,0.0035435333829364262
crop_area_pct_black_gram,0.0031940106147632045
crop_area_pct_mango,0.0030921252548325464
aspect_degrees,0.0030347388627141696
crop_area_pct_groundnut,0.002970888231137259
urban_fraction,0.002854941399098336
permanent_water_fraction,0.0025171612660278807
builtup_fraction,0.002453350837330819
soil_clay_pct_0_30cm,0.0024354078032010613
population_density,0.002417050623779009
crop_area_pct_rubber,0.00240632004320819
crop_area_pct_mangosteen,0.0023052756708226217
crop_area_pct_tomato,0.002036852577914326
distance_to_road_km,0.0018839793598006145
crop_area_pct_chili,0.0009435099914555703
crop_area_pct_durian,0.0008517019034002681
mean_temperature_c,0.0006856779804078512
region_mandalay,0.0006119538831322757
road_density_km_per_sqkm,0.0005415996300964325
crop_area_pct_cassava,0.0004809357013810979
valid_agriculture_mask,0.0004527430954875289
region_magway,0.0003047747865155987
railway_density_km_per_sqkm,0.00014563026774494167
region_bago,0.00012744809847883856
region_yangon,9.553275970653207e-06
solar_radiation_mj_m2_day,6.009892935095039e-06
data_month,1.4563614407962566e-07
chirps_precipitation_mm,2.704648813619544e-08
surface_water_seasonality_months,0.0
