feature,importance
surface_water_occurrence_pct,0.12510170756889036
solar_radiation_mj_m2_day_max,0.11711002307735867
solar_radiation_mj_m2_day_mean,0.07323733544491766
era5_soil_moisture_m3_m3_cv,0.07125492749859709
chirps_precipitation_mm_mean,0.0596604250391268
mean_temperature_c_range,0.03308658612376705
soil_cec_cmol_kg_0_30cm,0.028908192599138217
mean_temperature_c_min,0.028014946923887694
elevation_m,0.025878657614115938
permanent_water_fraction,0.025642398917581063
soil_soc_g_kg_0_30cm,0.0248547621897714
chirps_precipitation_mm_range,0.024313942311677023
mean_temperature_c_mean,0.023795168177246022
mean_temperature_c_max,0.019935621902858285
chirps_precipitation_mm_max,0.019341491739738474
crop_area_pct_mangosteen,0.018396805341330882
crop_area_pct_green_gram,0.018179037033097454
era5_soil_moisture_m3_m3_min,0.01620266364310616
crop_area_pct_maize,0.015083021134725655
crop_area_pct_pigeon_pea,0.01472705366231407
era5_soil_moisture_m3_m3_max,0.01410801441841109
era5_soil_moisture_m3_m3_mean,0.013823843355046163
crop_area_pct_black_gram,0.01141821523252521
distance_to_railway_km,0.011061999247718267
crop_area_pct_groundnut,0.010447447214825809
crop_area_pct_dry_season_rice,0.010158952776564176
soil_ph_h2o_0_30cm,0.009053753213172994
crop_area_pct_monsoon_rice,0.007362218727431901
ndwi_mcf_median_mean,0.007228944777052508
ndvi_median_growing_season_mean,0.006947313235336549
distance_to_surface_water_m,0.006900286131657808
ndvi_median_mean,0.006374355024486471
chirps_precipitation_mm_min,0.006039367649141582
crop_area_pct_sesame,0.005909356839172055
s1_vv_db_median_mean,0.005799337979957002
slope_degrees,0.005757215690511143
non_cropland_fraction,0.005443685996407294
s1_vh_db_median_mean,0.005278645161335673
crop_area_pct_tomato,0.005075551262532473
ndvi_median_max,0.005060247485954386
crop_area_pct_durian,0.0050424763633609565
crop_area_pct_mango,0.004810621335843909
distance_to_river_km,0.004766042903227305
cropland_fraction,0.004694342715918218
ndwi_mcf_median_max,0.004509085281646714
crop_area_pct_longan,0.004213863887578122
chirps_precipitation_mm_cv,0.0038998493131050006
ndvi_median_min,0.003848815362642779
population_density,0.003637862345122379
soil_sand_pct_0_30cm,0.003285929711837368
aspect_degrees,0.0019555784096146264
river_density_km_per_sqkm,0.001815594222456127
soil_clay_pct_0_30cm,0.0018087527892213214
soil_silt_pct_0_30cm,0.0016941010529317618
builtup_fraction,0.0013977892465615444
crop_area_pct_sugarcane,0.0011397812186149563
distance_to_road_km,0.0011388885286379824
urban_fraction,0.0008586853915766846
valid_agriculture_mask,0.0008290415366484988
crop_area_pct_chili,0.0006911488782115765
crop_area_pct_rubber,0.0006819490816038684
region_bago,0.0005676021024892739
road_density_km_per_sqkm,0.00026060723921169943
region_sagaing,0.00019166018251916972
crop_area_pct_cassava,9.326639779925825e-05
railway_density_km_per_sqkm,6.726438556705674e-05
mean_temperature_c,6.323323772143468e-05
region_ayeyawaddy,1.8842400579635834e-05
region_magway,1.5113779619500213e-05
solar_radiation_mj_m2_day,1.0862415153319324e-05
region_mandalay,8.958920369131639e-06
region_yangon,4.949152365969571e-06
chirps_precipitation_mm,3.9208477564692976e-06
surface_water_seasonality_months,0.0
data_month,0.0
