feature,importance
elevation_m,0.10515037843262401
mean_temperature_c_min,0.05922928014193379
crop_area_pct_mangosteen,0.04002001354566235
chirps_precipitation_mm_mean,0.03858550088881387
crop_area_pct_monsoon_rice,0.03657162453742529
crop_area_pct_maize,0.03638968496861023
soil_ph_h2o_0_30cm,0.03498792128184168
crop_area_pct_groundnut,0.02988795464724927
solar_radiation_mj_m2_day_mean,0.029880315977950198
crop_area_pct_green_gram,0.027278058339656113
crop_area_pct_sesame,0.026857873890106333
solar_radiation_mj_m2_day_max,0.026482318605022596
crop_area_pct_black_gram,0.025574180992716383
mean_temperature_c_range,0.025208953571971365
ndvi_median_mean,0.02429610910897552
era5_soil_moisture_m3_m3_mean,0.022044923138890136
crop_area_pct_pigeon_pea,0.02198610688475623
era5_soil_moisture_m3_m3_cv,0.020540303300109218
crop_area_pct_dry_season_rice,0.020280889797618575
mean_temperature_c_max,0.01921770646549603
ndvi_median_growing_season_mean,0.0191173916878463
s1_vh_db_median_mean,0.01857057339411642
population_density,0.01652105473138873
cropland_fraction,0.015902520522245913
non_cropland_fraction,0.015705456409272487
ndwi_mcf_median_mean,0.015655101167465636
mean_temperature_c_mean,0.015591495161243191
soil_cec_cmol_kg_0_30cm,0.013650096986596857
chirps_precipitation_mm_max,0.013619107091842018
chirps_precipitation_mm_range,0.012812590652652172
era5_soil_moisture_m3_m3_max,0.012730318214567328
crop_area_pct_durian,0.012231670654048152
ndvi_median_max,0.011589893854390115
s1_vv_db_median_mean,0.011057496902278188
slope_degrees,0.010927549346797048
era5_soil_moisture_m3_m3_min,0.0094090413887731
distance_to_railway_km,0.007748853500956948
crop_area_pct_mango,0.007649051384400695
soil_soc_g_kg_0_30cm,0.00763321802300067
crop_area_pct_tomato,0.007603176183705821
soil_sand_pct_0_30cm,0.007428579830471481
chirps_precipitation_mm_cv,0.007380457940519074
urban_fraction,0.0066877582418058985
crop_area_pct_longan,0.00624265534941378
soil_silt_pct_0_30cm,0.005060419416168352
surface_water_occurrence_pct,0.004782599990951517
chirps_precipitation_mm_min,0.004104484238573097
builtup_fraction,0.0037809950164998944
ndvi_median_min,0.003476333808440528
distance_to_surface_water_m,0.0027540281153264007
valid_agriculture_mask,0.0025501963468278896
distance_to_river_km,0.0024366448407744153
permanent_water_fraction,0.0023446132026945757
crop_area_pct_rubber,0.0023434820814689245
ndwi_mcf_median_max,0.0019199225733057977
soil_clay_pct_0_30cm,0.0015326569025588864
crop_area_pct_chili,0.001369996912485066
distance_to_road_km,0.001254478086407576
crop_area_pct_cassava,0.0012096801544094246
river_density_km_per_sqkm,0.00117817773623773
region_bago,0.0007188512130828286
aspect_degrees,0.0006948886745333015
road_density_km_per_sqkm,0.0006188604845532437
crop_area_pct_sugarcane,0.0004925140586827652
region_ayeyawaddy,0.00048075301703971827
region_sagaing,0.00042759237778317044
region_magway,0.00021333174304732612
railway_density_km_per_sqkm,0.00016642364153154521
region_mandalay,6.82312188143283e-05
solar_radiation_mj_m2_day,4.4508981540393303e-05
mean_temperature_c,3.1717964834511745e-05
region_yangon,8.378635585683463e-06
data_month,3.142861375676825e-08
surface_water_seasonality_months,0.0
chirps_precipitation_mm,0.0
