feature,importance
surface_water_occurrence_pct,0.1432979008932023
solar_radiation_mj_m2_day_max,0.11830588283996013
era5_soil_moisture_m3_m3_cv,0.07789799058176984
solar_radiation_mj_m2_day_mean,0.07341536462336581
chirps_precipitation_mm_mean,0.05153900282007354
elevation_m,0.035026530829934066
permanent_water_fraction,0.028171614575412805
mean_temperature_c_min,0.02776141316983816
mean_temperature_c_max,0.0275811549802277
soil_cec_cmol_kg_0_30cm,0.02538832954232257
soil_soc_g_kg_0_30cm,0.024528532408527693
mean_temperature_c_mean,0.02431256763034576
chirps_precipitation_mm_range,0.023764388250908167
mean_temperature_c_range,0.023111408544246065
chirps_precipitation_mm_max,0.01554103959011248
crop_area_pct_mangosteen,0.01461225282697935
distance_to_railway_km,0.013806499657757503
crop_area_pct_green_gram,0.013264857370659536
era5_soil_moisture_m3_m3_max,0.012782761725048698
era5_soil_moisture_m3_m3_min,0.0119601438192402
era5_soil_moisture_m3_m3_mean,0.011650174714004613
crop_area_pct_black_gram,0.010799108705235753
distance_to_surface_water_m,0.009920029338056765
ndvi_median_growing_season_mean,0.00946610223150342
slope_degrees,0.008851018942142207
crop_area_pct_dry_season_rice,0.008760172358168894
crop_area_pct_monsoon_rice,0.008752446350009168
chirps_precipitation_mm_min,0.008433832588196731
crop_area_pct_pigeon_pea,0.008302564220785133
crop_area_pct_sesame,0.00824613662260977
s1_vv_db_median_mean,0.0081903028888157
soil_ph_h2o_0_30cm,0.007459561424142716
crop_area_pct_maize,0.006786610246570654
ndvi_median_mean,0.006434080209604989
s1_vh_db_median_mean,0.006370257909925256
ndwi_mcf_median_mean,0.005642064989087227
crop_area_pct_groundnut,0.005621562555496481
chirps_precipitation_mm_cv,0.005058325332067865
soil_clay_pct_0_30cm,0.004868001486681998
crop_area_pct_durian,0.0045850345039696976
ndvi_median_min,0.0043891626972316355
ndvi_median_max,0.004349258246416256
soil_sand_pct_0_30cm,0.004218455015372573
crop_area_pct_mango,0.003955054078772917
ndwi_mcf_median_max,0.003933553096025645
builtup_fraction,0.0038638224604871274
cropland_fraction,0.0036442969549439906
non_cropland_fraction,0.003251112310766621
crop_area_pct_tomato,0.003231405056164881
distance_to_river_km,0.0030976956982774386
soil_silt_pct_0_30cm,0.002692802110436495
population_density,0.0026090409196420864
urban_fraction,0.002230367328667466
crop_area_pct_longan,0.002132911370887681
valid_agriculture_mask,0.0019904847359790466
distance_to_road_km,0.0017363189511844718
aspect_degrees,0.001458816591667996
river_density_km_per_sqkm,0.0013486750662439803
crop_area_pct_chili,0.0013012588614089073
road_density_km_per_sqkm,0.001052844790188243
region_bago,0.0008583571982134056
crop_area_pct_sugarcane,0.0006127540298082909
region_sagaing,0.0003820190618858339
region_ayeyawaddy,0.00032262020915929847
crop_area_pct_cassava,0.00031517303248004266
railway_density_km_per_sqkm,0.00025508825460411887
region_yangon,0.00019784102342709865
mean_temperature_c,0.00015337981215994987
region_magway,7.502977845713602e-05
crop_area_pct_rubber,6.156939021631368e-05
region_mandalay,8.512550683214855e-06
solar_radiation_mj_m2_day,3.0160152268410685e-06
chirps_precipitation_mm,2.7900590561594407e-07
surface_water_seasonality_months,0.0
data_month,0.0
