feature,importance
chirps_precipitation_mm_mean,0.09152698397684407
mean_temperature_c_min,0.0548167793860026
solar_radiation_mj_m2_day_mean,0.043239717098385234
crop_area_pct_mangosteen,0.036509132055954
crop_area_pct_sesame,0.0363580317814489
solar_radiation_mj_m2_day_max,0.03595193026708046
chirps_precipitation_mm_max,0.03421339287012034
crop_area_pct_monsoon_rice,0.03324829900359348
mean_temperature_c_mean,0.031543478732042045
era5_soil_moisture_m3_m3_cv,0.03143116221837738
mean_temperature_c_max,0.03136173953147022
chirps_precipitation_mm_range,0.03105485787894115
crop_area_pct_groundnut,0.030067584250806585
crop_area_pct_pigeon_pea,0.02999659500002775
crop_area_pct_maize,0.029105595943549906
soil_ph_h2o_0_30cm,0.02715823987675749
crop_area_pct_green_gram,0.025853010977499088
crop_area_pct_black_gram,0.02489951660305667
ndvi_median_mean,0.02350498354121758
ndvi_median_growing_season_mean,0.023091404481525298
mean_temperature_c_range,0.0222692061279906
elevation_m,0.02157619059549416
ndwi_mcf_median_mean,0.020143931818606967
crop_area_pct_dry_season_rice,0.018692155527024554
era5_soil_moisture_m3_m3_mean,0.018589246465400222
s1_vh_db_median_mean,0.017324383220122468
era5_soil_moisture_m3_m3_min,0.016629948470585028
distance_to_railway_km,0.016305818908333443
crop_area_pct_durian,0.014339760914196436
s1_vv_db_median_mean,0.012604513125105509
era5_soil_moisture_m3_m3_max,0.011972389460489938
chirps_precipitation_mm_cv,0.01061979906362557
ndvi_median_max,0.008063602665030839
crop_area_pct_tomato,0.007907509107848315
soil_silt_pct_0_30cm,0.006960467900292728
crop_area_pct_mango,0.006037459167727381
distance_to_surface_water_m,0.005788369526517287
population_density,0.005080815400578778
chirps_precipitation_mm_min,0.004877824925722916
soil_soc_g_kg_0_30cm,0.004055793501997064
cropland_fraction,0.0038958278525073114
slope_degrees,0.0034891344125181777
non_cropland_fraction,0.0034530367168032275
soil_sand_pct_0_30cm,0.003064281646030957
distance_to_river_km,0.002856796628250175
crop_area_pct_rubber,0.002641436660372633
surface_water_occurrence_pct,0.002163388099313613
crop_area_pct_longan,0.002093463680926551
river_density_km_per_sqkm,0.00208465701305585
soil_cec_cmol_kg_0_30cm,0.0020552382521501025
urban_fraction,0.001960326012201789
ndvi_median_min,0.0017922265519684443
builtup_fraction,0.001737332886106726
soil_clay_pct_0_30cm,0.0016915253179150922
ndwi_mcf_median_max,0.0016488325798430078
distance_to_road_km,0.0014055461802760373
crop_area_pct_sugarcane,0.0011832905840493916
aspect_degrees,0.0009093004356910858
permanent_water_fraction,0.000786935002646849
crop_area_pct_chili,0.0006145568817405323
crop_area_pct_cassava,0.0006036996287851406
region_mandalay,0.000538391411754572
road_density_km_per_sqkm,0.0005332712929895329
region_sagaing,0.0004969661763423423
solar_radiation_mj_m2_day,0.0004960436495915376
region_magway,0.00037024363685393474
region_ayeyawaddy,0.00023642196363960263
valid_agriculture_mask,0.0001269218113378156
railway_density_km_per_sqkm,0.0001259544571461602
mean_temperature_c,9.893613642643539e-05
region_bago,4.6199228578053494e-05
chirps_precipitation_mm,2.8180922336056713e-05
data_month,1.492246102171508e-08
surface_water_seasonality_months,0.0
region_yangon,0.0
