feature,importance
surface_water_occurrence_pct,0.13925802015828728
solar_radiation_mj_m2_day_max,0.1274801966314892
solar_radiation_mj_m2_day_mean,0.08544272406851136
era5_soil_moisture_m3_m3_cv,0.07351536296017512
chirps_precipitation_mm_mean,0.051892302747274306
elevation_m,0.04576121605812946
mean_temperature_c_mean,0.033896368197649705
mean_temperature_c_max,0.03153392814270109
mean_temperature_c_min,0.030569364521885484
soil_soc_g_kg_0_30cm,0.029239096987034762
permanent_water_fraction,0.02520488861661321
mean_temperature_c_range,0.024284314097431457
soil_cec_cmol_kg_0_30cm,0.02301228899444974
distance_to_railway_km,0.019937144820862306
chirps_precipitation_mm_max,0.016060614408121027
chirps_precipitation_mm_range,0.01282722344386341
era5_soil_moisture_m3_m3_mean,0.010332258821030872
soil_ph_h2o_0_30cm,0.009539270481169619
s1_vh_db_median_mean,0.009112963404629755
crop_area_pct_black_gram,0.008652200001876229
era5_soil_moisture_m3_m3_min,0.008604110861390213
distance_to_surface_water_m,0.008575215391875607
era5_soil_moisture_m3_m3_max,0.008473195227343577
ndvi_median_mean,0.007914459179592917
slope_degrees,0.007759961656051436
ndwi_mcf_median_mean,0.007728454906729103
crop_area_pct_dry_season_rice,0.007251812464188508
ndvi_median_growing_season_mean,0.0072304390269405175
s1_vv_db_median_mean,0.006901710713197367
crop_area_pct_mangosteen,0.006725555153313986
chirps_precipitation_mm_cv,0.006351683411966371
crop_area_pct_maize,0.006249153554245513
crop_area_pct_green_gram,0.0061331250854431245
chirps_precipitation_mm_min,0.0060342249724075975
crop_area_pct_pigeon_pea,0.005860994508835511
ndvi_median_max,0.005832953081111234
crop_area_pct_monsoon_rice,0.005591275692716246
non_cropland_fraction,0.005587275125835521
crop_area_pct_durian,0.0052763859802284095
ndvi_median_min,0.0045292502361982
soil_sand_pct_0_30cm,0.004290672213195552
cropland_fraction,0.003950429342414431
crop_area_pct_sesame,0.003629867098628544
crop_area_pct_groundnut,0.0035762492550463075
soil_silt_pct_0_30cm,0.003336743378133438
urban_fraction,0.0031518662751600143
crop_area_pct_mango,0.003034903296601752
builtup_fraction,0.002661712397749095
population_density,0.002581026233792749
crop_area_pct_tomato,0.002527757186223138
railway_density_km_per_sqkm,0.0023229146397471022
distance_to_road_km,0.0023150018111629273
soil_clay_pct_0_30cm,0.002256997594306516
valid_agriculture_mask,0.0022487201555383388
road_density_km_per_sqkm,0.0021663270839848234
ndwi_mcf_median_max,0.002118035065756245
distance_to_river_km,0.0020823394218872845
river_density_km_per_sqkm,0.0018588030984301813
crop_area_pct_longan,0.0017721536996477794
aspect_degrees,0.0013773810301384729
crop_area_pct_chili,0.0010133031334647788
crop_area_pct_sugarcane,0.00078385517672771
mean_temperature_c,0.0007267741413867615
crop_area_pct_cassava,0.0004647015762387002
crop_area_pct_rubber,0.0004151819945199904
region_bago,0.00034567926398450786
region_sagaing,0.00026581540085785546
region_ayeyawaddy,0.0002565131127391697
region_mandalay,0.0001352748328095394
solar_radiation_mj_m2_day,6.510031925893627e-05
region_magway,4.7645603360941953e-05
region_yangon,3.813504759314578e-05
chirps_precipitation_mm,1.913632671704314e-05
surface_water_seasonality_months,0.0
data_month,0.0
