feature,importance
solar_radiation_mj_m2_day_max,0.09167363548043486
solar_radiation_mj_m2_day_mean,0.08014304043631898
chirps_precipitation_mm_mean,0.06699378197635629
mean_temperature_c_max,0.060077250015840356
ndvi_median_mean,0.05907264182924783
chirps_precipitation_mm_max,0.04674910944843031
ndvi_median_growing_season_mean,0.04482959835475176
era5_soil_moisture_m3_m3_cv,0.04267591381504105
mean_temperature_c_mean,0.03990816602517669
distance_to_railway_km,0.03227768693566835
ndwi_mcf_median_mean,0.0317240908416154
chirps_precipitation_mm_range,0.031078961295982453
mean_temperature_c_min,0.03046464904542654
era5_soil_moisture_m3_m3_mean,0.029244624145471666
soil_ph_h2o_0_30cm,0.025838460589493514
s1_vh_db_median_mean,0.02527323126968254
s1_vv_db_median_mean,0.021711957797980398
elevation_m,0.020643639699760886
ndvi_median_max,0.01895444390925586
era5_soil_moisture_m3_m3_min,0.01543790413520135
chirps_precipitation_mm_min,0.014791525720314775
era5_soil_moisture_m3_m3_max,0.011170762781002194
chirps_precipitation_mm_cv,0.010066145105818769
surface_water_occurrence_pct,0.009105145373730333
mean_temperature_c_range,0.008785886894646062
soil_soc_g_kg_0_30cm,0.00854623375490472
ndwi_mcf_median_max,0.006147920523418451
crop_area_pct_dry_season_rice,0.006082445826160742
crop_area_pct_groundnut,0.005936283994870889
ndvi_median_min,0.00559003366945433
distance_to_surface_water_m,0.00540517324236714
cropland_fraction,0.005143961212443634
soil_cec_cmol_kg_0_30cm,0.004566811593649289
soil_sand_pct_0_30cm,0.004497831123494801
population_density,0.004373085484535245
crop_area_pct_black_gram,0.004312816830114962
non_cropland_fraction,0.0042506498860735075
distance_to_river_km,0.0040492945119272195
soil_silt_pct_0_30cm,0.003944097727012225
slope_degrees,0.0038934477584123594
permanent_water_fraction,0.0038199274590380626
crop_area_pct_green_gram,0.003527647125221594
crop_area_pct_maize,0.0035270478261843242
crop_area_pct_mangosteen,0.0032726355409817397
river_density_km_per_sqkm,0.0032438226170278467
crop_area_pct_tomato,0.003203291207276273
distance_to_road_km,0.0031940367364769132
crop_area_pct_sesame,0.003066421502717243
urban_fraction,0.0029088781286166336
crop_area_pct_monsoon_rice,0.0026167943264642263
crop_area_pct_mango,0.0024627088458814774
soil_clay_pct_0_30cm,0.0023512314360871166
aspect_degrees,0.002271263386236844
builtup_fraction,0.00226293637752537
crop_area_pct_pigeon_pea,0.001930451748897939
crop_area_pct_longan,0.0019290876261902703
crop_area_pct_chili,0.0018493099575147317
crop_area_pct_durian,0.0017086149776801248
region_ayeyawaddy,0.0012405372935354127
road_density_km_per_sqkm,0.0007435005497842064
crop_area_pct_rubber,0.0006821116173944589
region_sagaing,0.0005382009613385361
crop_area_pct_sugarcane,0.0005129664772321719
crop_area_pct_cassava,0.00032871148744661023
region_mandalay,0.0002974324690375596
railway_density_km_per_sqkm,0.0002859632157383004
region_magway,0.000277570723192024
region_yangon,0.000198666426323734
valid_agriculture_mask,0.00016757088896101217
solar_radiation_mj_m2_day,8.113606217571751e-05
mean_temperature_c,3.457714190858716e-05
region_bago,3.2596590402926056e-05
data_month,1.120802129248163e-08
surface_water_seasonality_months,0.0
chirps_precipitation_mm,0.0
