feature,importance
surface_water_occurrence_pct,0.10458174710179124
crop_area_pct_monsoon_rice,0.04733818948335371
crop_area_pct_mangosteen,0.04716211296684032
crop_area_pct_maize,0.044567307383041946
crop_area_pct_pigeon_pea,0.04023329861747525
crop_area_pct_sesame,0.03953634911209655
mean_temperature_c_min,0.03756739403998542
elevation_m,0.03743427585012839
crop_area_pct_green_gram,0.03633555448354204
crop_area_pct_groundnut,0.033769285168279845
crop_area_pct_black_gram,0.03293445978924036
permanent_water_fraction,0.03031591304890058
ndvi_median_mean,0.025306529336952693
ndvi_median_growing_season_mean,0.025299539627045314
crop_area_pct_durian,0.022737057067682285
mean_temperature_c_range,0.022265848102682277
crop_area_pct_dry_season_rice,0.020942076265771745
era5_soil_moisture_m3_m3_min,0.020547688890826993
era5_soil_moisture_m3_m3_mean,0.019754560038274582
era5_soil_moisture_m3_m3_cv,0.018044892375821905
era5_soil_moisture_m3_m3_max,0.016978301350022297
ndwi_mcf_median_mean,0.016840919695603584
mean_temperature_c_max,0.015296787934515178
soil_cec_cmol_kg_0_30cm,0.01481540238040221
s1_vh_db_median_mean,0.014398119684968708
ndvi_median_max,0.014353631950875599
solar_radiation_mj_m2_day_max,0.014124252506914759
mean_temperature_c_mean,0.013811853785216864
s1_vv_db_median_mean,0.012382288971529615
chirps_precipitation_mm_mean,0.011846797319575525
solar_radiation_mj_m2_day_mean,0.01105424995398761
distance_to_railway_km,0.0094062644519367
slope_degrees,0.008990061718852686
soil_sand_pct_0_30cm,0.007734880435316413
distance_to_surface_water_m,0.007367771199273612
cropland_fraction,0.007123468576286054
soil_soc_g_kg_0_30cm,0.006753187426915474
non_cropland_fraction,0.0066610305568297005
crop_area_pct_longan,0.0065822525283782025
chirps_precipitation_mm_range,0.006310320981781675
chirps_precipitation_mm_max,0.00575118219285099
soil_ph_h2o_0_30cm,0.005714855172948712
crop_area_pct_tomato,0.0046510930790959895
population_density,0.004179542225945712
chirps_precipitation_mm_min,0.0039582672773408965
crop_area_pct_sugarcane,0.0039033128089370687
chirps_precipitation_mm_cv,0.0038495784226200555
soil_silt_pct_0_30cm,0.0038148257006892323
crop_area_pct_cassava,0.0034105994945073754
soil_clay_pct_0_30cm,0.0032819177341837625
ndvi_median_min,0.00310830926288071
distance_to_river_km,0.0027387249369657364
ndwi_mcf_median_max,0.0025595711581892747
crop_area_pct_mango,0.002557048128209713
crop_area_pct_rubber,0.0024533053744539616
builtup_fraction,0.0021169599582039327
distance_to_road_km,0.0020631692376532657
aspect_degrees,0.001999857055633904
river_density_km_per_sqkm,0.0018072563632557494
urban_fraction,0.0017760012427495066
road_density_km_per_sqkm,0.0015415126135870814
valid_agriculture_mask,0.0015105316007054635
crop_area_pct_chili,0.0004128347226076621
railway_density_km_per_sqkm,0.00038222727420173853
region_mandalay,0.0002588103373786395
region_bago,0.00023178360415708208
mean_temperature_c,0.00021109437309599002
region_magway,0.00011521926574676278
region_yangon,4.9452854214276055e-05
region_sagaing,4.945268651822142e-05
region_ayeyawaddy,3.147601079408746e-05
solar_radiation_mj_m2_day,3.7829303098462443e-06
chirps_precipitation_mm,5.227404515063621e-07
surface_water_seasonality_months,0.0
data_month,0.0
