feature,importance
chirps_precipitation_mm_mean,0.4037171281440793
ndvi_median_growing_season_mean,0.26426016750716674
ndvi_median_mean,0.24426186572375713
solar_radiation_mj_m2_day_mean,0.022662244407835264
slope_degrees,0.011890053567949057
chirps_precipitation_mm_max,0.010363926795575594
era5_soil_moisture_m3_m3_cv,0.010058564726773895
chirps_precipitation_mm_cv,0.005629951260014345
surface_water_occurrence_pct,0.0036151901908898815
era5_soil_moisture_m3_m3_mean,0.0030850955926857173
chirps_precipitation_mm_range,0.002722207506849572
mean_temperature_c_range,0.0021304801256042385
solar_radiation_mj_m2_day_max,0.001651101346996134
soil_ph_h2o_0_30cm,0.0015341532495790771
mean_temperature_c_mean,0.0014720785741759715
distance_to_river_km,0.001411367272212278
distance_to_surface_water_m,0.0011127019863395175
era5_soil_moisture_m3_m3_min,0.001086637291129328
mean_temperature_c_max,0.0008019087087721852
river_density_km_per_sqkm,0.0005939418368922462
crop_area_pct_cassava,0.0005707931870882143
crop_area_pct_black_gram,0.00048291067978805004
chirps_precipitation_mm_min,0.00045655578657602456
soil_soc_g_kg_0_30cm,0.0004468079425097781
ndvi_median_max,0.0004363870828299283
crop_area_pct_rubber,0.00041009085747882097
soil_clay_pct_0_30cm,0.0003848264522029143
era5_soil_moisture_m3_m3_max,0.000371862526357375
permanent_water_fraction,0.0003158418851461134
ndwi_mcf_median_mean,0.0002913970810055765
population_density,0.00028307031664782483
soil_silt_pct_0_30cm,0.00021043503873590262
distance_to_railway_km,0.00018473177017321472
ndvi_median_min,0.0001707276996858296
soil_cec_cmol_kg_0_30cm,0.00013134522971017064
cropland_fraction,0.00010270650236116681
mean_temperature_c_min,9.749217025091048e-05
s1_vh_db_median_mean,9.698678730827764e-05
elevation_m,9.334940692259197e-05
soil_sand_pct_0_30cm,7.749740074824647e-05
s1_vv_db_median_mean,7.156236157974836e-05
non_cropland_fraction,6.551129014255239e-05
distance_to_road_km,6.453731260975715e-05
ndwi_mcf_median_max,4.881708252688338e-05
aspect_degrees,2.2690551759802037e-05
builtup_fraction,9.05639113579413e-06
railway_density_km_per_sqkm,8.48734787536078e-06
urban_fraction,8.403422832036595e-06
crop_area_pct_groundnut,2.6741169838309904e-06
road_density_km_per_sqkm,2.581979041327842e-06
crop_area_pct_mango,2.3703126631940653e-06
crop_area_pct_monsoon_rice,2.2888721698940542e-06
crop_area_pct_dry_season_rice,2.2721377981664715e-06
crop_area_pct_tomato,2.0701672558235024e-06
crop_area_pct_durian,1.5035902016869492e-06
region_ayeyawaddy,1.3775387956776204e-06
crop_area_pct_chili,9.997996214711453e-07
crop_area_pct_mangosteen,9.870013382702406e-07
crop_area_pct_longan,9.376960885996231e-07
crop_area_pct_green_gram,8.538906903774136e-07
region_sagaing,6.621815280337154e-07
crop_area_pct_sesame,6.241397378228022e-07
crop_area_pct_sugarcane,5.784031813698261e-07
crop_area_pct_maize,5.099394821715134e-07
valid_agriculture_mask,4.247062742658192e-07
region_bago,3.3203070167378696e-07
crop_area_pct_pigeon_pea,2.7591965606668767e-07
region_yangon,2.8197523847574442e-08
solar_radiation_mj_m2_day,3.6280680388592865e-17
mean_temperature_c,3.43130081643232e-17
chirps_precipitation_mm,2.94240218879018e-17
data_month,2.912853009732873e-17
surface_water_seasonality_months,0.0
region_mandalay,0.0
region_magway,0.0
