feature,importance
chirps_precipitation_mm,0.9999997623211114
chirps_precipitation_mm_max,1.3987989847177091e-07
chirps_precipitation_mm_range,6.804375870635161e-08
solar_radiation_mj_m2_day,2.9755231373746738e-08
valid_agriculture_mask,1.0015862471113598e-18
distance_to_road_km,7.420820799579535e-19
soil_sand_pct_0_30cm,6.161384552378889e-19
solar_radiation_mj_m2_day_max,5.95315238612982e-19
non_cropland_fraction,5.886068627370024e-19
distance_to_railway_km,4.704084617764221e-19
crop_area_pct_mangosteen,4.514118592945702e-19
population_density,3.395537918030039e-19
river_density_km_per_sqkm,3.136106314055276e-19
region_mandalay,2.3842060605990665e-19
crop_area_pct_sesame,1.8502222617051381e-19
ndvi_median_max,1.6609063990613844e-19
s1_vh_db_median_mean,1.5741085581939402e-19
s1_vv_db_median_mean,1.2860609703988043e-19
crop_area_pct_cassava,1.1987748173746824e-19
railway_density_km_per_sqkm,1.102444174595581e-19
soil_cec_cmol_kg_0_30cm,9.200306826847773e-20
ndvi_median_mean,6.454895020624475e-20
aspect_degrees,3.716623713505974e-20
soil_clay_pct_0_30cm,0.0
distance_to_surface_water_m,0.0
elevation_m,0.0
slope_degrees,0.0
surface_water_occurrence_pct,0.0
soil_ph_h2o_0_30cm,0.0
soil_soc_g_kg_0_30cm,0.0
soil_silt_pct_0_30cm,0.0
mean_temperature_c,0.0
chirps_precipitation_mm_cv,0.0
chirps_precipitation_mm_min,0.0
chirps_precipitation_mm_mean,0.0
era5_soil_moisture_m3_m3_max,0.0
builtup_fraction,0.0
cropland_fraction,0.0
permanent_water_fraction,0.0
road_density_km_per_sqkm,0.0
urban_fraction,0.0
surface_water_seasonality_months,0.0
distance_to_river_km,0.0
mean_temperature_c_min,0.0
mean_temperature_c_range,0.0
mean_temperature_c_mean,0.0
mean_temperature_c_max,0.0
era5_soil_moisture_m3_m3_cv,0.0
era5_soil_moisture_m3_m3_min,0.0
era5_soil_moisture_m3_m3_mean,0.0
ndwi_mcf_median_mean,0.0
solar_radiation_mj_m2_day_mean,0.0
ndvi_median_growing_season_mean,0.0
data_month,0.0
crop_area_pct_monsoon_rice,0.0
crop_area_pct_maize,0.0
crop_area_pct_dry_season_rice,0.0
ndwi_mcf_median_max,0.0
ndvi_median_min,0.0
crop_area_pct_durian,0.0
crop_area_pct_sugarcane,0.0
crop_area_pct_longan,0.0
crop_area_pct_mango,0.0
crop_area_pct_black_gram,0.0
crop_area_pct_green_gram,0.0
crop_area_pct_chili,0.0
crop_area_pct_tomato,0.0
crop_area_pct_groundnut,0.0
crop_area_pct_pigeon_pea,0.0
region_ayeyawaddy,0.0
crop_area_pct_rubber,0.0
region_bago,0.0
region_magway,0.0
region_sagaing,0.0
region_yangon,0.0
