feature,importance
solar_radiation_mj_m2_day,0.993619188529946
solar_radiation_mj_m2_day_mean,0.002194879727845179
solar_radiation_mj_m2_day_max,0.002149815937208269
era5_soil_moisture_m3_m3_cv,0.0020359969263146096
elevation_m,4.658627831664768e-08
s1_vh_db_median_mean,3.0552689407446094e-08
ndvi_median_max,1.576387027939033e-08
s1_vv_db_median_mean,1.5554021131561328e-08
permanent_water_fraction,1.0421826773131212e-08
slope_degrees,0.0
aspect_degrees,0.0
surface_water_occurrence_pct,0.0
soil_ph_h2o_0_30cm,0.0
soil_soc_g_kg_0_30cm,0.0
soil_silt_pct_0_30cm,0.0
soil_sand_pct_0_30cm,0.0
soil_clay_pct_0_30cm,0.0
soil_cec_cmol_kg_0_30cm,0.0
distance_to_surface_water_m,0.0
urban_fraction,0.0
builtup_fraction,0.0
cropland_fraction,0.0
non_cropland_fraction,0.0
railway_density_km_per_sqkm,0.0
surface_water_seasonality_months,0.0
road_density_km_per_sqkm,0.0
distance_to_road_km,0.0
mean_temperature_c,0.0
chirps_precipitation_mm,0.0
valid_agriculture_mask,0.0
chirps_precipitation_mm_mean,0.0
chirps_precipitation_mm_range,0.0
chirps_precipitation_mm_cv,0.0
chirps_precipitation_mm_max,0.0
chirps_precipitation_mm_min,0.0
era5_soil_moisture_m3_m3_max,0.0
era5_soil_moisture_m3_m3_mean,0.0
mean_temperature_c_mean,0.0
era5_soil_moisture_m3_m3_min,0.0
population_density,0.0
distance_to_river_km,0.0
river_density_km_per_sqkm,0.0
distance_to_railway_km,0.0
ndvi_median_mean,0.0
mean_temperature_c_range,0.0
mean_temperature_c_min,0.0
mean_temperature_c_max,0.0
ndwi_mcf_median_max,0.0
ndwi_mcf_median_mean,0.0
ndvi_median_growing_season_mean,0.0
ndvi_median_min,0.0
data_month,0.0
crop_area_pct_monsoon_rice,0.0
crop_area_pct_dry_season_rice,0.0
crop_area_pct_maize,0.0
crop_area_pct_sugarcane,0.0
crop_area_pct_cassava,0.0
crop_area_pct_durian,0.0
crop_area_pct_mangosteen,0.0
crop_area_pct_longan,0.0
crop_area_pct_mango,0.0
crop_area_pct_chili,0.0
crop_area_pct_tomato,0.0
crop_area_pct_black_gram,0.0
crop_area_pct_green_gram,0.0
crop_area_pct_pigeon_pea,0.0
crop_area_pct_groundnut,0.0
crop_area_pct_sesame,0.0
crop_area_pct_rubber,0.0
region_ayeyawaddy,0.0
region_bago,0.0
region_magway,0.0
region_mandalay,0.0
region_sagaing,0.0
region_yangon,0.0
