feature,importance
era5_soil_moisture_m3_m3_min,0.5902526536745304
ndwi_mcf_median_mean,0.15306839790966292
ndvi_median_growing_season_mean,0.10870992830717839
ndvi_median_mean,0.09664670093263124
era5_soil_moisture_m3_m3_cv,0.02992561554117771
chirps_precipitation_mm_range,0.006741137103552623
chirps_precipitation_mm_cv,0.004456826201629635
solar_radiation_mj_m2_day_mean,0.004451921139557672
solar_radiation_mj_m2_day_max,0.0038877076323044564
era5_soil_moisture_m3_m3_mean,0.00046314654828856787
era5_soil_moisture_m3_m3_max,0.0002846241096123306
permanent_water_fraction,0.00022766270808727103
chirps_precipitation_mm_min,0.00016313219428349066
ndvi_median_min,0.0001312536465947029
distance_to_railway_km,9.925787605359275e-05
urban_fraction,6.577900561138964e-05
s1_vv_db_median_mean,5.5977877560752035e-05
soil_cec_cmol_kg_0_30cm,3.554986082313855e-05
builtup_fraction,3.239529028988514e-05
slope_degrees,2.991387498249429e-05
distance_to_surface_water_m,2.594553914114123e-05
distance_to_river_km,2.5889898400815874e-05
soil_soc_g_kg_0_30cm,2.4999983716537698e-05
soil_clay_pct_0_30cm,2.312718029148771e-05
mean_temperature_c_range,2.0420918843529763e-05
mean_temperature_c_min,1.7614910663978587e-05
road_density_km_per_sqkm,1.7592744140157917e-05
soil_sand_pct_0_30cm,1.51340463557875e-05
soil_silt_pct_0_30cm,1.4283434876387671e-05
ndwi_mcf_median_max,1.1275943602794523e-05
chirps_precipitation_mm_mean,7.5224913850942375e-06
ndvi_median_max,7.274997286027896e-06
surface_water_occurrence_pct,6.6466852909554125e-06
distance_to_road_km,5.56434268486656e-06
chirps_precipitation_mm_max,5.087988959756357e-06
s1_vh_db_median_mean,5.007595672140597e-06
population_density,4.295549884950709e-06
soil_ph_h2o_0_30cm,4.058229347254351e-06
mean_temperature_c_mean,4.028902605920498e-06
cropland_fraction,3.899368825645253e-06
mean_temperature_c_max,2.8726963677849803e-06
river_density_km_per_sqkm,2.3779072038979563e-06
elevation_m,2.3100497000705813e-06
non_cropland_fraction,1.8753385929707492e-06
crop_area_pct_maize,1.828613134890908e-06
aspect_degrees,1.8030837997923105e-06
valid_agriculture_mask,1.450293958928555e-06
crop_area_pct_longan,1.2298807785413e-06
crop_area_pct_sugarcane,1.1560259009518384e-06
crop_area_pct_mango,5.391700959916948e-07
crop_area_pct_mangosteen,4.3200330206624805e-07
crop_area_pct_black_gram,4.0225394213067886e-07
region_ayeyawaddy,3.32030003400464e-07
crop_area_pct_monsoon_rice,3.020506555536306e-07
crop_area_pct_durian,2.96280657634655e-07
crop_area_pct_groundnut,2.3300502456170325e-07
crop_area_pct_chili,1.9144972783258034e-07
crop_area_pct_tomato,1.8190175365414977e-07
crop_area_pct_green_gram,1.7728934091050519e-07
crop_area_pct_cassava,1.5543306918213426e-07
crop_area_pct_rubber,1.5387396333042826e-07
crop_area_pct_pigeon_pea,1.215774266160754e-07
crop_area_pct_sesame,1.1776176125990572e-07
crop_area_pct_dry_season_rice,1.0176277152944265e-07
railway_density_km_per_sqkm,7.333730458242133e-08
region_magway,1.517817353810417e-08
region_mandalay,1.03684903362928e-08
region_yangon,4.005283426463122e-09
region_bago,3.1914267775495686e-09
mean_temperature_c,1.5757635599639407e-17
solar_radiation_mj_m2_day,1.5009842653396416e-17
chirps_precipitation_mm,1.0586877471881817e-17
data_month,4.88504285457154e-18
surface_water_seasonality_months,0.0
region_sagaing,0.0
