feature,importance
mean_temperature_c_max,0.19573335994208815
chirps_precipitation_mm_mean,0.16721985923599647
mean_temperature_c_range,0.10933988641640674
chirps_precipitation_mm_max,0.07509587567993074
chirps_precipitation_mm_range,0.0664904850950287
mean_temperature_c_mean,0.06473470048205322
solar_radiation_mj_m2_day_mean,0.04050986348711396
era5_soil_moisture_m3_m3_cv,0.039924458226515226
soil_silt_pct_0_30cm,0.029910395667113752
s1_vv_db_median_mean,0.027542460003765177
mean_temperature_c_min,0.022153118120195506
solar_radiation_mj_m2_day_max,0.021857069103433314
soil_ph_h2o_0_30cm,0.01896702230546222
s1_vh_db_median_mean,0.01657767721340546
chirps_precipitation_mm_min,0.015449382339288933
era5_soil_moisture_m3_m3_max,0.010908767662826382
ndvi_median_mean,0.008960489640994405
era5_soil_moisture_m3_m3_mean,0.008101764428663094
urban_fraction,0.0065487568835780295
population_density,0.006145441649628919
ndwi_mcf_median_mean,0.005661877479594351
soil_clay_pct_0_30cm,0.005606402829801624
ndvi_median_max,0.0047991829870128256
ndvi_median_growing_season_mean,0.00429151727384929
builtup_fraction,0.004211612357600234
distance_to_railway_km,0.0033213040386210315
era5_soil_moisture_m3_m3_min,0.0032846135763093076
crop_area_pct_groundnut,0.002203146920933475
crop_area_pct_tomato,0.002166890551298213
crop_area_pct_mangosteen,0.0021081152276287212
elevation_m,0.0018074091879414814
soil_sand_pct_0_30cm,0.0010906259451113284
crop_area_pct_durian,0.0008118749083979883
chirps_precipitation_mm_cv,0.000784231310270405
soil_cec_cmol_kg_0_30cm,0.0006474038775725921
soil_soc_g_kg_0_30cm,0.0005219388576110236
crop_area_pct_green_gram,0.0004114189603864185
slope_degrees,0.0004070389590296745
distance_to_surface_water_m,0.00037156166987199345
road_density_km_per_sqkm,0.000332716803116548
cropland_fraction,0.0002640275258812113
crop_area_pct_dry_season_rice,0.0002621694860805492
crop_area_pct_black_gram,0.00025399347199986404
non_cropland_fraction,0.00025004666813626693
ndwi_mcf_median_max,0.00021792833305988945
distance_to_road_km,0.00021246938304218875
aspect_degrees,0.00019884509319817084
railway_density_km_per_sqkm,0.00016898854130216272
region_magway,0.0001657641510626783
river_density_km_per_sqkm,0.00015372240738250337
crop_area_pct_monsoon_rice,0.00014849247956444516
region_mandalay,0.00013260772170523965
crop_area_pct_maize,0.00012333673732726463
ndvi_median_min,0.00010964663396263403
surface_water_occurrence_pct,8.051182701291815e-05
crop_area_pct_cassava,7.277051906938376e-05
crop_area_pct_sugarcane,4.618994124569008e-05
distance_to_river_km,4.333194646321504e-05
crop_area_pct_longan,3.934280537565088e-05
crop_area_pct_sesame,3.522118341617222e-05
crop_area_pct_chili,4.660454449376906e-06
permanent_water_fraction,2.033618469982827e-06
crop_area_pct_pigeon_pea,1.5275274738213492e-06
crop_area_pct_mango,6.542378718888322e-07
surface_water_seasonality_months,0.0
chirps_precipitation_mm,0.0
mean_temperature_c,0.0
solar_radiation_mj_m2_day,0.0
valid_agriculture_mask,0.0
data_month,0.0
crop_area_pct_rubber,0.0
region_bago,0.0
region_ayeyawaddy,0.0
region_sagaing,0.0
region_yangon,0.0
