feature,importance
river_density_km_per_sqkm,0.6258469403312302
surface_water_occurrence_pct,0.2480401918688188
distance_to_river_km,0.10968392636155815
permanent_water_fraction,0.01566113794859417
ndvi_median_min,6.48308015838966e-05
s1_vh_db_median_mean,4.335491851887913e-05
solar_radiation_mj_m2_day_max,4.331986737423376e-05
soil_clay_pct_0_30cm,4.0256660374079796e-05
ndvi_median_max,3.895566808513272e-05
region_ayeyawaddy,3.43499325736482e-05
ndwi_mcf_median_max,2.6622608069223554e-05
s1_vv_db_median_mean,2.535036570257836e-05
crop_area_pct_dry_season_rice,2.0872779564013053e-05
distance_to_railway_km,2.0136365921470575e-05
ndvi_median_growing_season_mean,1.9758476016375263e-05
era5_soil_moisture_m3_m3_cv,1.9042316466175844e-05
soil_cec_cmol_kg_0_30cm,1.9019881644849996e-05
era5_soil_moisture_m3_m3_mean,1.859281355932143e-05
ndvi_median_mean,1.73969843100859e-05
urban_fraction,1.5164484098718236e-05
chirps_precipitation_mm_cv,1.4756798423800403e-05
population_density,1.4510582070932113e-05
non_cropland_fraction,1.4066908916405494e-05
builtup_fraction,1.3497824654201005e-05
mean_temperature_c_max,1.3153177757419318e-05
distance_to_road_km,1.3084901987285776e-05
railway_density_km_per_sqkm,1.2680657490767945e-05
crop_area_pct_durian,1.2615407911964218e-05
crop_area_pct_longan,1.229772263243095e-05
cropland_fraction,1.1966896182827004e-05
distance_to_surface_water_m,1.1533661595605175e-05
era5_soil_moisture_m3_m3_min,1.0774415798508003e-05
soil_sand_pct_0_30cm,1.0745033185149232e-05
chirps_precipitation_mm_max,9.655815374684966e-06
mean_temperature_c_mean,9.448982270535642e-06
crop_area_pct_mangosteen,9.216485220759285e-06
ndwi_mcf_median_mean,9.118490966698842e-06
chirps_precipitation_mm_range,8.977793561470903e-06
crop_area_pct_monsoon_rice,6.541552670688574e-06
mean_temperature_c_range,5.624591395698273e-06
crop_area_pct_cassava,5.48818140942193e-06
aspect_degrees,5.13117192267092e-06
era5_soil_moisture_m3_m3_max,5.033635440099053e-06
crop_area_pct_black_gram,4.945685670553535e-06
slope_degrees,4.858131618873335e-06
chirps_precipitation_mm_mean,4.791568424957905e-06
crop_area_pct_groundnut,4.435071373536341e-06
crop_area_pct_mango,4.256975732550195e-06
elevation_m,4.168713952525688e-06
chirps_precipitation_mm_min,3.7814403787248362e-06
soil_soc_g_kg_0_30cm,3.7334388663471093e-06
soil_ph_h2o_0_30cm,3.704429077134019e-06
mean_temperature_c_min,3.3271998812751036e-06
soil_silt_pct_0_30cm,3.161696302392711e-06
region_yangon,3.0952222561302752e-06
crop_area_pct_green_gram,2.987024270799152e-06
crop_area_pct_tomato,2.1536758288348854e-06
solar_radiation_mj_m2_day_mean,2.152933453117288e-06
crop_area_pct_sesame,1.1348940504850824e-06
road_density_km_per_sqkm,7.984463688741357e-07
crop_area_pct_rubber,7.343259631998091e-07
crop_area_pct_sugarcane,6.435191307711196e-07
crop_area_pct_pigeon_pea,5.907297357698065e-07
crop_area_pct_maize,5.260671110009242e-07
valid_agriculture_mask,4.1970732778894706e-07
crop_area_pct_chili,2.35528159870855e-07
region_bago,1.0805565927292604e-07
region_magway,6.002606505102567e-08
region_sagaing,5.3370436079084e-08
chirps_precipitation_mm,7.782148423831224e-18
mean_temperature_c,4.214934710032378e-18
solar_radiation_mj_m2_day,3.341653080397129e-18
data_month,4.472772930659692e-19
surface_water_seasonality_months,0.0
region_mandalay,0.0
