feature,importance
distance_to_railway_km,0.5857126418157964
distance_to_road_km,0.2712240854186581
road_density_km_per_sqkm,0.13561185411399224
railway_density_km_per_sqkm,0.0071661893233662686
non_cropland_fraction,0.00014198902916917882
cropland_fraction,3.744417306076011e-05
surface_water_occurrence_pct,2.2341295439011226e-05
mean_temperature_c_max,1.27915397524701e-05
distance_to_river_km,1.0562981851988327e-05
river_density_km_per_sqkm,7.384637692741575e-06
soil_sand_pct_0_30cm,7.013508269986447e-06
ndvi_median_max,3.0320591306386115e-06
soil_cec_cmol_kg_0_30cm,2.8477525043172004e-06
chirps_precipitation_mm_cv,2.799883638932701e-06
chirps_precipitation_mm_min,1.7994209858685326e-06
slope_degrees,1.7891782862407288e-06
mean_temperature_c_min,1.5738050430057019e-06
mean_temperature_c_range,1.5406643745242116e-06
builtup_fraction,1.4919214639732723e-06
chirps_precipitation_mm_mean,1.478374464617608e-06
urban_fraction,1.467885283748715e-06
chirps_precipitation_mm_range,1.4338088415510586e-06
mean_temperature_c_mean,1.4175794453995265e-06
chirps_precipitation_mm_max,1.4125334157609318e-06
crop_area_pct_longan,1.3060873504911814e-06
soil_clay_pct_0_30cm,1.2819739911306666e-06
solar_radiation_mj_m2_day_mean,1.2292588218179057e-06
soil_silt_pct_0_30cm,1.2036006590716441e-06
s1_vv_db_median_mean,1.0319211367306272e-06
era5_soil_moisture_m3_m3_max,9.29506795319635e-07
s1_vh_db_median_mean,9.236021458602124e-07
aspect_degrees,8.685239964949277e-07
crop_area_pct_chili,8.313934221698718e-07
ndvi_median_mean,7.367956845447127e-07
soil_ph_h2o_0_30cm,6.54936021557361e-07
crop_area_pct_maize,6.353473989280304e-07
ndvi_median_growing_season_mean,6.090855493022887e-07
soil_soc_g_kg_0_30cm,5.953054224981538e-07
crop_area_pct_sesame,5.90084470493673e-07
elevation_m,5.81074478576822e-07
era5_soil_moisture_m3_m3_mean,5.676320268211755e-07
population_density,5.380483994071904e-07
crop_area_pct_tomato,5.332225628407607e-07
crop_area_pct_pigeon_pea,5.28664554400215e-07
era5_soil_moisture_m3_m3_min,5.22403627680655e-07
distance_to_surface_water_m,5.197654620391735e-07
ndwi_mcf_median_mean,4.855488446955274e-07
crop_area_pct_mango,4.3509507998918415e-07
solar_radiation_mj_m2_day_max,4.0302064552755867e-07
permanent_water_fraction,3.674286061006969e-07
crop_area_pct_dry_season_rice,3.6656889432107275e-07
crop_area_pct_mangosteen,3.2184880132634097e-07
crop_area_pct_black_gram,2.6580221026950877e-07
crop_area_pct_cassava,2.438402283108065e-07
crop_area_pct_green_gram,2.279954992488046e-07
region_ayeyawaddy,2.074492676535766e-07
crop_area_pct_monsoon_rice,1.771450864308718e-07
region_mandalay,1.59909303764517e-07
crop_area_pct_groundnut,1.4569246555265713e-07
crop_area_pct_durian,1.2644786686645193e-07
ndwi_mcf_median_max,1.23024453484922e-07
era5_soil_moisture_m3_m3_cv,8.599533007767728e-08
ndvi_median_min,7.611207099210211e-08
crop_area_pct_sugarcane,6.44843567266294e-08
region_yangon,6.027845152503133e-08
region_sagaing,3.8847665169385805e-08
crop_area_pct_rubber,1.6526965920858974e-08
solar_radiation_mj_m2_day,0.0
valid_agriculture_mask,0.0
chirps_precipitation_mm,0.0
mean_temperature_c,0.0
surface_water_seasonality_months,0.0
data_month,0.0
region_bago,0.0
region_magway,0.0
