feature,importance
soil_soc_g_kg_0_30cm,0.3236574907431165
chirps_precipitation_mm_mean,0.06549655211705148
distance_to_railway_km,0.05065593252609739
chirps_precipitation_mm_max,0.04323513742462965
mean_temperature_c_min,0.03881259794542561
solar_radiation_mj_m2_day_max,0.03860999716017256
mean_temperature_c_max,0.03494329567340429
chirps_precipitation_mm_range,0.033800632963925985
soil_cec_cmol_kg_0_30cm,0.032769866183047794
elevation_m,0.026363268377289955
solar_radiation_mj_m2_day_mean,0.022171458988175147
mean_temperature_c_mean,0.02151373599958268
mean_temperature_c_range,0.021247192786964072
soil_ph_h2o_0_30cm,0.01960232214182921
urban_fraction,0.016480926587278046
s1_vv_db_median_mean,0.014226151520183031
ndvi_median_growing_season_mean,0.012237671233241772
ndvi_median_mean,0.011321424635719508
non_cropland_fraction,0.010227309732308561
s1_vh_db_median_mean,0.009825500160076897
population_density,0.009752116875442158
ndwi_mcf_median_mean,0.009013884098000332
cropland_fraction,0.008873102373371387
chirps_precipitation_mm_min,0.008509947461965112
era5_soil_moisture_m3_m3_cv,0.008409807179984852
slope_degrees,0.008173092828387756
builtup_fraction,0.00768811822725694
era5_soil_moisture_m3_m3_mean,0.006708936639612815
soil_sand_pct_0_30cm,0.0063271823780813915
valid_agriculture_mask,0.006244407153068654
ndvi_median_max,0.005514293818757909
crop_area_pct_sesame,0.004653996449987409
crop_area_pct_pigeon_pea,0.004168574795203053
soil_silt_pct_0_30cm,0.004137784222026213
crop_area_pct_groundnut,0.003919591267542019
chirps_precipitation_mm_cv,0.0037122005202419118
era5_soil_moisture_m3_m3_min,0.0032979091258428838
crop_area_pct_black_gram,0.0031737772847359453
crop_area_pct_monsoon_rice,0.002836636973620397
crop_area_pct_sugarcane,0.0027432130650119
crop_area_pct_cassava,0.002720865443931216
crop_area_pct_mangosteen,0.002702390101010591
crop_area_pct_maize,0.0025251552942405376
era5_soil_moisture_m3_m3_max,0.00243103380220953
crop_area_pct_green_gram,0.002357966013662385
crop_area_pct_dry_season_rice,0.0021663079856248943
crop_area_pct_longan,0.00177095127320145
permanent_water_fraction,0.0016497869707475753
crop_area_pct_durian,0.0015324331562728728
distance_to_road_km,0.0013043452460006217
crop_area_pct_mango,0.0012693640692778856
region_ayeyawaddy,0.0011164641515112683
soil_clay_pct_0_30cm,0.0011086974652773128
surface_water_occurrence_pct,0.0010734376283357196
distance_to_surface_water_m,0.0009459387305109959
distance_to_river_km,0.0008862699254747942
ndvi_median_min,0.0008630904841751208
crop_area_pct_chili,0.0008453181633088986
crop_area_pct_tomato,0.0008452232101323082
river_density_km_per_sqkm,0.000746611662314485
aspect_degrees,0.0007008542730316564
crop_area_pct_rubber,0.0006472755222614657
ndwi_mcf_median_max,0.0005586573379937464
region_sagaing,0.0005145413615129137
road_density_km_per_sqkm,0.0005120737052457375
region_mandalay,0.00039341914727971305
mean_temperature_c,0.00027442328308268743
region_bago,0.00024433855344125634
region_magway,0.0001107444452948404
railway_density_km_per_sqkm,9.498984129634674e-05
region_yangon,2.956399359716253e-05
chirps_precipitation_mm,4.301210806708766e-07
surface_water_seasonality_months,0.0
solar_radiation_mj_m2_day,0.0
data_month,0.0
