feature,importance
crop_area_pct_mangosteen,0.11358515294661009
crop_area_pct_monsoon_rice,0.10057275043830233
crop_area_pct_maize,0.09498495614921128
crop_area_pct_sesame,0.09088332937845223
crop_area_pct_pigeon_pea,0.08330419759249653
crop_area_pct_green_gram,0.0775736725961771
crop_area_pct_black_gram,0.07340885466504639
crop_area_pct_groundnut,0.07283711275381871
crop_area_pct_dry_season_rice,0.044844908448987954
mean_temperature_c_range,0.04289069334927248
crop_area_pct_durian,0.04009442252708653
mean_temperature_c_min,0.03660805287493776
crop_area_pct_tomato,0.02596981198481913
crop_area_pct_mango,0.025179438178101983
crop_area_pct_longan,0.01698765233385138
elevation_m,0.010945097924256785
soil_cec_cmol_kg_0_30cm,0.009938508593401993
era5_soil_moisture_m3_m3_max,0.009400611898523864
crop_area_pct_rubber,0.0061379608909557124
region_sagaing,0.003542772392585524
era5_soil_moisture_m3_m3_cv,0.0032908356198434164
era5_soil_moisture_m3_m3_mean,0.003130317156039416
slope_degrees,0.0031006978065937544
solar_radiation_mj_m2_day_max,0.0030796786327373653
crop_area_pct_sugarcane,0.0021219125486011056
region_yangon,0.0020901340312399525
soil_soc_g_kg_0_30cm,0.001985762004480909
solar_radiation_mj_m2_day_mean,0.000506702897207547
mean_temperature_c_mean,0.00046682858224242595
crop_area_pct_chili,0.00032434673345998485
mean_temperature_c_max,0.00011155457429469204
soil_ph_h2o_0_30cm,4.082956834040324e-05
chirps_precipitation_mm_mean,2.4298911573431533e-05
chirps_precipitation_mm_range,2.1547302209145823e-05
soil_sand_pct_0_30cm,6.0646429686709004e-06
distance_to_road_km,5.823097280557846e-06
cropland_fraction,2.707973991665959e-06
surface_water_occurrence_pct,0.0
soil_clay_pct_0_30cm,0.0
aspect_degrees,0.0
soil_silt_pct_0_30cm,0.0
distance_to_surface_water_m,0.0
road_density_km_per_sqkm,0.0
ndvi_median_max,0.0
ndvi_median_mean,0.0
era5_soil_moisture_m3_m3_min,0.0
chirps_precipitation_mm_cv,0.0
chirps_precipitation_mm_min,0.0
chirps_precipitation_mm_max,0.0
solar_radiation_mj_m2_day,0.0
distance_to_railway_km,0.0
urban_fraction,0.0
builtup_fraction,0.0
non_cropland_fraction,0.0
permanent_water_fraction,0.0
population_density,0.0
valid_agriculture_mask,0.0
chirps_precipitation_mm,0.0
mean_temperature_c,0.0
surface_water_seasonality_months,0.0
river_density_km_per_sqkm,0.0
distance_to_river_km,0.0
railway_density_km_per_sqkm,0.0
ndwi_mcf_median_max,0.0
ndwi_mcf_median_mean,0.0
s1_vv_db_median_mean,0.0
s1_vh_db_median_mean,0.0
crop_area_pct_cassava,0.0
data_month,0.0
ndvi_median_min,0.0
ndvi_median_growing_season_mean,0.0
region_bago,0.0
region_ayeyawaddy,0.0
region_mandalay,0.0
region_magway,0.0
