feature,importance
soil_ph_h2o_0_30cm,0.14489253195636614
soil_cec_cmol_kg_0_30cm,0.10238908961373472
elevation_m,0.06252798514462536
mean_temperature_c_min,0.06210739531370178
solar_radiation_mj_m2_day_mean,0.04419085009053766
mean_temperature_c_range,0.04071147198971098
crop_area_pct_monsoon_rice,0.03756586171560546
solar_radiation_mj_m2_day_max,0.03476120858887492
mean_temperature_c_max,0.02906515849404496
chirps_precipitation_mm_min,0.027023122649599662
crop_area_pct_green_gram,0.02530546277928108
crop_area_pct_sugarcane,0.02476049373132949
ndvi_median_growing_season_mean,0.024476262511378178
ndvi_median_mean,0.023541943906202702
crop_area_pct_mangosteen,0.023516310261627992
crop_area_pct_maize,0.0223021849094062
crop_area_pct_sesame,0.01753519159168449
crop_area_pct_cassava,0.01632809527827095
crop_area_pct_groundnut,0.016237002214846776
mean_temperature_c_mean,0.014165607234787159
ndwi_mcf_median_mean,0.013495232381653854
distance_to_railway_km,0.012924290922610304
soil_sand_pct_0_30cm,0.011474822931739754
crop_area_pct_pigeon_pea,0.011219326969412814
chirps_precipitation_mm_mean,0.010913191183393352
crop_area_pct_black_gram,0.010139601317139936
era5_soil_moisture_m3_m3_cv,0.009815888718950706
non_cropland_fraction,0.009383009119162174
slope_degrees,0.009348726051300778
cropland_fraction,0.009005324931101042
region_sagaing,0.008656213193907547
crop_area_pct_dry_season_rice,0.008646492890566968
soil_soc_g_kg_0_30cm,0.008164536650912841
era5_soil_moisture_m3_m3_mean,0.007710724176056759
s1_vh_db_median_mean,0.0062731730009187355
valid_agriculture_mask,0.005579713196875928
ndvi_median_max,0.0055249592144822985
soil_silt_pct_0_30cm,0.0054048030526544265
crop_area_pct_durian,0.0048359409377702845
chirps_precipitation_mm_max,0.004802987207919258
population_density,0.004108388332033583
era5_soil_moisture_m3_m3_min,0.0038994090123698347
s1_vv_db_median_mean,0.0037686597203955264
crop_area_pct_tomato,0.003672373750550127
chirps_precipitation_mm_range,0.0025127189291621337
chirps_precipitation_mm_cv,0.0023550340661506347
soil_clay_pct_0_30cm,0.002103540299511283
crop_area_pct_chili,0.0018786185622189715
builtup_fraction,0.0016910723163744395
era5_soil_moisture_m3_m3_max,0.001549631619314751
crop_area_pct_rubber,0.0009436568614183338
urban_fraction,0.0007873017950666204
crop_area_pct_longan,0.0006148469702103018
distance_to_road_km,0.0005242239675394385
region_bago,0.0004712841914977231
ndwi_mcf_median_max,0.0003259173038155844
ndvi_median_min,0.000303588264354732
aspect_degrees,0.0002723524653055399
distance_to_surface_water_m,0.0002667588879658733
permanent_water_fraction,0.00022608509890483945
distance_to_river_km,0.00020148220772492554
road_density_km_per_sqkm,0.00018551060475324656
surface_water_occurrence_pct,0.0001766746238237379
crop_area_pct_mango,0.00011534801865231414
river_density_km_per_sqkm,0.00011156535786711026
railway_density_km_per_sqkm,0.00010560543268849003
region_yangon,3.955209042945258e-05
mean_temperature_c,2.2643939590710178e-05
region_magway,2.2600477083833123e-05
region_ayeyawaddy,2.0494344140029916e-05
region_mandalay,8.724649395331763e-07
solar_radiation_mj_m2_day,0.0
chirps_precipitation_mm,0.0
surface_water_seasonality_months,0.0
data_month,0.0
