feature,importance
distance_to_road_km,0.6396695970426164
road_density_km_per_sqkm,0.22361228940270916
non_cropland_fraction,0.05706311169491954
cropland_fraction,0.04492862480088941
distance_to_river_km,0.03285326648880256
river_density_km_per_sqkm,0.0006960887304089292
s1_vv_db_median_mean,0.0005601222380124214
population_density,0.00012734557769674966
s1_vh_db_median_mean,4.490625008967212e-05
elevation_m,4.13733777282782e-05
chirps_precipitation_mm_cv,3.960467758392593e-05
ndwi_mcf_median_mean,3.135025747668971e-05
ndvi_median_min,2.9099197150063385e-05
soil_soc_g_kg_0_30cm,2.609475853312872e-05
surface_water_occurrence_pct,2.0726619817847256e-05
soil_sand_pct_0_30cm,1.8701005787017634e-05
distance_to_railway_km,1.8336241445180833e-05
ndvi_median_mean,1.798661731214611e-05
distance_to_surface_water_m,1.782808989876354e-05
slope_degrees,1.1978177481011973e-05
ndwi_mcf_median_max,1.1631678006822646e-05
soil_clay_pct_0_30cm,1.0989451821767514e-05
ndvi_median_growing_season_mean,1.0378218047394384e-05
ndvi_median_max,9.904764405284952e-06
aspect_degrees,9.890681101395959e-06
railway_density_km_per_sqkm,9.15858038772015e-06
valid_agriculture_mask,8.105335018057075e-06
permanent_water_fraction,7.269516468397142e-06
mean_temperature_c_max,6.050242544200049e-06
soil_silt_pct_0_30cm,5.506413041372983e-06
solar_radiation_mj_m2_day_max,5.432377102016609e-06
region_mandalay,5.23878579160516e-06
soil_cec_cmol_kg_0_30cm,5.096901921856167e-06
chirps_precipitation_mm_min,4.818760929936025e-06
urban_fraction,4.5300982239858134e-06
era5_soil_moisture_m3_m3_cv,4.232091087747345e-06
solar_radiation_mj_m2_day_mean,3.9916539526645855e-06
builtup_fraction,3.928833074551395e-06
crop_area_pct_mango,3.5028767000124045e-06
soil_ph_h2o_0_30cm,3.224573573842926e-06
era5_soil_moisture_m3_m3_max,3.221274818435413e-06
chirps_precipitation_mm_mean,3.120844108410169e-06
chirps_precipitation_mm_range,3.054476986425001e-06
crop_area_pct_tomato,2.8324493231001554e-06
mean_temperature_c_mean,2.6867704665187197e-06
crop_area_pct_chili,2.6839048976744815e-06
chirps_precipitation_mm_max,2.6204325493194192e-06
crop_area_pct_green_gram,2.372692962335366e-06
crop_area_pct_black_gram,2.158095884488972e-06
era5_soil_moisture_m3_m3_min,2.0550249430891716e-06
era5_soil_moisture_m3_m3_mean,1.981723311356665e-06
mean_temperature_c_range,1.7624064442733127e-06
crop_area_pct_pigeon_pea,1.734589719175428e-06
crop_area_pct_sesame,1.0398085727175101e-06
crop_area_pct_cassava,7.965491423618315e-07
mean_temperature_c_min,7.458902108648675e-07
crop_area_pct_rubber,6.175363325131162e-07
crop_area_pct_monsoon_rice,5.452796820583126e-07
crop_area_pct_sugarcane,5.06359843120255e-07
crop_area_pct_dry_season_rice,4.7252407504271133e-07
crop_area_pct_maize,4.005647401138189e-07
crop_area_pct_longan,3.3539700377151523e-07
crop_area_pct_durian,3.1365266192161634e-07
region_yangon,2.0341787723425888e-07
region_sagaing,1.8522245332076303e-07
crop_area_pct_groundnut,1.2550495875605562e-07
region_magway,9.700995590709138e-08
region_bago,1.7516515777323047e-08
mean_temperature_c,6.171526931829549e-17
data_month,4.4924866748741774e-17
solar_radiation_mj_m2_day,4.272980399392687e-17
chirps_precipitation_mm,4.2612855793308067e-17
surface_water_seasonality_months,0.0
crop_area_pct_mangosteen,0.0
region_ayeyawaddy,0.0
