feature,importance
population_density,0.685646808530934
distance_to_road_km,0.14647346727190005
distance_to_railway_km,0.09587374327982955
non_cropland_fraction,0.032918249243876305
road_density_km_per_sqkm,0.019702103503662204
cropland_fraction,0.013870146754102728
railway_density_km_per_sqkm,0.004336984908735265
mean_temperature_c_max,0.00019025191578715307
era5_soil_moisture_m3_m3_min,0.00012983140092117252
ndwi_mcf_median_mean,0.00010339217546236538
surface_water_occurrence_pct,7.851466569147021e-05
distance_to_river_km,6.665853721790295e-05
mean_temperature_c_mean,6.11301309329559e-05
soil_ph_h2o_0_30cm,5.730104308375753e-05
soil_cec_cmol_kg_0_30cm,5.4508001418634335e-05
solar_radiation_mj_m2_day_max,3.7623119773882966e-05
solar_radiation_mj_m2_day_mean,3.758988371322967e-05
chirps_precipitation_mm_mean,3.4820757856400406e-05
soil_silt_pct_0_30cm,3.395594481334035e-05
ndvi_median_max,3.09235899184266e-05
s1_vv_db_median_mean,2.872230254664336e-05
chirps_precipitation_mm_max,2.514632093004936e-05
ndvi_median_min,2.4536345718912638e-05
era5_soil_moisture_m3_m3_cv,1.97942578319702e-05
soil_soc_g_kg_0_30cm,1.4368726101172398e-05
river_density_km_per_sqkm,1.3830238193599406e-05
permanent_water_fraction,1.1336400114777827e-05
chirps_precipitation_mm_range,1.0925269543262555e-05
distance_to_surface_water_m,9.447709324537163e-06
urban_fraction,8.940152935847025e-06
slope_degrees,8.575442767994059e-06
chirps_precipitation_mm_cv,8.127407744315337e-06
s1_vh_db_median_mean,7.981119312531096e-06
mean_temperature_c_min,7.257222397404513e-06
ndwi_mcf_median_max,7.1332261601943845e-06
ndvi_median_mean,6.745529163811744e-06
ndvi_median_growing_season_mean,6.475581460610271e-06
era5_soil_moisture_m3_m3_max,6.0170090996883195e-06
builtup_fraction,5.583750117574117e-06
valid_agriculture_mask,5.147075588241946e-06
soil_clay_pct_0_30cm,4.988368918322759e-06
mean_temperature_c_range,4.379791329498041e-06
era5_soil_moisture_m3_m3_mean,4.321508649050648e-06
chirps_precipitation_mm_min,1.753849155673941e-06
elevation_m,1.3542959903947063e-06
soil_sand_pct_0_30cm,1.1044545678079723e-06
crop_area_pct_durian,1.042297864293623e-06
region_ayeyawaddy,9.510556777131369e-07
crop_area_pct_mangosteen,9.348001495885645e-07
crop_area_pct_rubber,7.62563426288214e-07
crop_area_pct_dry_season_rice,7.428522641574305e-07
crop_area_pct_longan,6.294575492440781e-07
crop_area_pct_monsoon_rice,6.29194771689365e-07
aspect_degrees,6.159878320607701e-07
crop_area_pct_black_gram,3.1743322224672015e-07
crop_area_pct_green_gram,2.9396370141834073e-07
crop_area_pct_maize,2.580634772969431e-07
crop_area_pct_cassava,2.4456366767694405e-07
crop_area_pct_sesame,2.1583381541907002e-07
crop_area_pct_mango,1.902573505576328e-07
crop_area_pct_sugarcane,1.2275185370084124e-07
crop_area_pct_tomato,4.7068199459271874e-08
region_bago,2.4949736743926716e-09
crop_area_pct_groundnut,8.464198088163003e-10
region_sagaing,4.984889169415693e-10
chirps_precipitation_mm,1.5807880387987444e-17
solar_radiation_mj_m2_day,1.0638362270673723e-17
data_month,4.766059423232308e-18
mean_temperature_c,2.2534594703909943e-18
surface_water_seasonality_months,0.0
crop_area_pct_chili,0.0
crop_area_pct_pigeon_pea,0.0
region_magway,0.0
region_mandalay,0.0
region_yangon,0.0
