feature,importance
surface_water_occurrence_pct,0.9791313481227888
permanent_water_fraction,0.006519509499822482
crop_area_pct_dry_season_rice,0.0034654643890869117
population_density,0.003197721911341305
crop_area_pct_durian,0.0015017812637651686
crop_area_pct_mangosteen,0.0014341982893463377
distance_to_surface_water_m,0.0007570088331478332
elevation_m,0.0006447340452248887
crop_area_pct_sugarcane,0.0005694998687791914
region_ayeyawaddy,0.00040467482650673067
crop_area_pct_sesame,0.0003368713138812173
crop_area_pct_groundnut,0.0002650746615116684
crop_area_pct_green_gram,0.00025355166072686095
ndwi_mcf_median_mean,0.00023638397212419007
crop_area_pct_pigeon_pea,0.00020114963008177142
non_cropland_fraction,0.00012101226237178059
cropland_fraction,9.462144572143932e-05
ndvi_median_mean,9.426694017238895e-05
ndvi_median_growing_season_mean,8.682282009568029e-05
soil_cec_cmol_kg_0_30cm,8.459506896151438e-05
distance_to_railway_km,6.992315813508441e-05
ndwi_mcf_median_max,6.811954718862726e-05
slope_degrees,6.497236518410634e-05
s1_vh_db_median_mean,6.425549909229405e-05
era5_soil_moisture_m3_m3_cv,5.579306095034941e-05
distance_to_river_km,3.134814295798472e-05
ndvi_median_min,3.085418282355759e-05
s1_vv_db_median_mean,2.1189259339798504e-05
solar_radiation_mj_m2_day_mean,1.7945541071512947e-05
ndvi_median_max,1.6914813178914058e-05
distance_to_road_km,1.671115308943736e-05
railway_density_km_per_sqkm,1.5257348086337037e-05
era5_soil_moisture_m3_m3_min,1.510427409407363e-05
aspect_degrees,1.4945617906422015e-05
chirps_precipitation_mm_cv,1.185078208498443e-05
era5_soil_moisture_m3_m3_mean,8.881193196110692e-06
mean_temperature_c_range,8.445671912184418e-06
era5_soil_moisture_m3_m3_max,7.5277647883241925e-06
chirps_precipitation_mm_max,6.673821501314961e-06
mean_temperature_c_max,5.996093529059119e-06
urban_fraction,5.553708981363201e-06
chirps_precipitation_mm_range,5.327667203695582e-06
soil_clay_pct_0_30cm,4.59240825918601e-06
soil_silt_pct_0_30cm,4.276258124192825e-06
solar_radiation_mj_m2_day_max,4.064539093939004e-06
builtup_fraction,3.832347116872784e-06
chirps_precipitation_mm_mean,3.7455211732146792e-06
mean_temperature_c_min,3.294649905557055e-06
soil_ph_h2o_0_30cm,3.268213323575062e-06
soil_soc_g_kg_0_30cm,1.9702122847585408e-06
mean_temperature_c_mean,1.641545234137105e-06
soil_sand_pct_0_30cm,8.876196830847855e-07
chirps_precipitation_mm_min,6.608492566411016e-07
river_density_km_per_sqkm,5.901367635748121e-07
road_density_km_per_sqkm,5.171650474635171e-07
crop_area_pct_cassava,4.7039344009637753e-07
crop_area_pct_mango,4.612916321528083e-07
crop_area_pct_monsoon_rice,3.764279904921215e-07
crop_area_pct_maize,2.826587008651302e-07
crop_area_pct_tomato,2.01633690182379e-07
crop_area_pct_longan,1.977163926125198e-07
valid_agriculture_mask,1.4372276182533895e-07
crop_area_pct_chili,1.3671548681062067e-07
crop_area_pct_black_gram,1.3533368996575088e-07
region_sagaing,1.1043259293650266e-07
crop_area_pct_rubber,9.978075216556885e-08
region_yangon,9.810861628480104e-08
region_bago,4.053338993318625e-08
region_magway,2.0787002483943086e-08
region_mandalay,1.5068414170227746e-09
mean_temperature_c,1.584501331993523e-17
solar_radiation_mj_m2_day,1.1990300829025298e-17
chirps_precipitation_mm,1.0399269385946758e-17
data_month,6.153912824612875e-18
surface_water_seasonality_months,0.0
