feature,importance
population_density,0.5156578328880078
distance_to_road_km,0.37907597064978465
urban_fraction,0.05817510304966077
builtup_fraction,0.0464681985471262
road_density_km_per_sqkm,0.00026519740685601074
elevation_m,5.12607364240566e-05
ndwi_mcf_median_mean,3.5130410504620575e-05
slope_degrees,2.593927672636262e-05
soil_sand_pct_0_30cm,2.364973064278236e-05
cropland_fraction,2.2672408717559094e-05
non_cropland_fraction,1.5019335674828279e-05
ndvi_median_max,1.0702917878161847e-05
surface_water_occurrence_pct,9.980761091132948e-06
mean_temperature_c_max,9.539587060062556e-06
era5_soil_moisture_m3_m3_max,8.04708181848287e-06
ndvi_median_min,7.868962515018095e-06
aspect_degrees,7.375281251775713e-06
soil_clay_pct_0_30cm,6.968980713547476e-06
soil_silt_pct_0_30cm,6.670464496052274e-06
distance_to_surface_water_m,6.604912366684356e-06
era5_soil_moisture_m3_m3_mean,6.208018575692489e-06
era5_soil_moisture_m3_m3_cv,5.9649890680315725e-06
chirps_precipitation_mm_cv,5.855655145963611e-06
chirps_precipitation_mm_min,5.738250142537692e-06
ndwi_mcf_median_max,5.5459859602360205e-06
solar_radiation_mj_m2_day_mean,5.471369690808287e-06
chirps_precipitation_mm_mean,4.220377537147405e-06
soil_ph_h2o_0_30cm,4.1806275222590395e-06
permanent_water_fraction,4.172354726065451e-06
distance_to_river_km,4.152231348472333e-06
crop_area_pct_tomato,4.139673445928784e-06
crop_area_pct_black_gram,4.07090064504282e-06
crop_area_pct_dry_season_rice,4.030271550413008e-06
crop_area_pct_rubber,3.259075017144597e-06
railway_density_km_per_sqkm,3.2080989376422116e-06
distance_to_railway_km,3.064609060786942e-06
mean_temperature_c_min,2.8431542417722565e-06
solar_radiation_mj_m2_day_max,2.6655677976917984e-06
era5_soil_moisture_m3_m3_min,2.522192414837562e-06
mean_temperature_c_mean,2.459809203764365e-06
soil_cec_cmol_kg_0_30cm,2.4554309409161714e-06
s1_vv_db_median_mean,2.2159077993554593e-06
chirps_precipitation_mm_max,2.076133982965609e-06
s1_vh_db_median_mean,1.9404091892902785e-06
chirps_precipitation_mm_range,1.9030210671533923e-06
ndvi_median_growing_season_mean,1.8783332803534534e-06
ndvi_median_mean,1.7953487142819212e-06
soil_soc_g_kg_0_30cm,1.7436677238014124e-06
mean_temperature_c_range,1.7047046912589347e-06
river_density_km_per_sqkm,1.5530731056024172e-06
crop_area_pct_longan,1.2482466584785542e-06
crop_area_pct_cassava,8.423111172415547e-07
crop_area_pct_monsoon_rice,6.294084570592193e-07
crop_area_pct_sugarcane,6.061393423538944e-07
crop_area_pct_maize,5.246916229690545e-07
region_mandalay,4.569801538340532e-07
region_bago,4.530707388163458e-07
crop_area_pct_pigeon_pea,3.837483363822835e-07
region_sagaing,3.779765530754677e-07
crop_area_pct_green_gram,2.928744672591644e-07
crop_area_pct_mango,2.282921114950952e-07
crop_area_pct_chili,2.1132091535368025e-07
crop_area_pct_sesame,2.078328940654755e-07
crop_area_pct_mangosteen,2.047748384505003e-07
crop_area_pct_durian,1.82539124359394e-07
crop_area_pct_groundnut,1.6611110322466805e-07
region_yangon,1.0482344050265933e-07
region_magway,8.734867519557384e-08
valid_agriculture_mask,9.781523836425744e-09
region_ayeyawaddy,9.096081848739795e-09
mean_temperature_c,5.821728865251433e-17
solar_radiation_mj_m2_day,4.4457149865870135e-17
chirps_precipitation_mm,4.406975191298469e-17
data_month,2.72157008362961e-17
surface_water_seasonality_months,0.0
