feature,importance
chirps_precipitation_mm_mean,0.5801096514616401
river_density_km_per_sqkm,0.38057416524561344
era5_soil_moisture_m3_m3_mean,0.020823866021661818
era5_soil_moisture_m3_m3_min,0.010632704764487706
era5_soil_moisture_m3_m3_max,0.0038042392142186346
era5_soil_moisture_m3_m3_cv,0.0014957635909247698
solar_radiation_mj_m2_day_mean,0.000604435941797278
solar_radiation_mj_m2_day_max,0.0005665734732101499
distance_to_railway_km,0.00041875669982283775
soil_ph_h2o_0_30cm,0.00018020930437011483
chirps_precipitation_mm_max,0.0001233709279631531
chirps_precipitation_mm_range,0.0001123363274875048
distance_to_river_km,6.419134800394087e-05
elevation_m,5.1237076026960766e-05
slope_degrees,5.050689949091042e-05
soil_silt_pct_0_30cm,4.662274069797673e-05
soil_clay_pct_0_30cm,4.587460636149621e-05
population_density,3.391288808937822e-05
chirps_precipitation_mm_cv,2.9685653455260718e-05
soil_soc_g_kg_0_30cm,2.8970633588049138e-05
soil_cec_cmol_kg_0_30cm,2.5864773699603576e-05
mean_temperature_c_range,2.538588805023784e-05
aspect_degrees,1.9458988499637293e-05
surface_water_occurrence_pct,1.9120375168207708e-05
mean_temperature_c_max,1.4451734065976523e-05
ndwi_mcf_median_max,9.056607671837282e-06
ndvi_median_max,8.962068228938395e-06
s1_vv_db_median_mean,8.339215037511527e-06
soil_sand_pct_0_30cm,7.692957200870524e-06
distance_to_road_km,7.488924170947998e-06
ndvi_median_min,7.24901823283035e-06
non_cropland_fraction,7.116072310543005e-06
mean_temperature_c_min,6.363106462796176e-06
s1_vh_db_median_mean,5.70303435543175e-06
mean_temperature_c_mean,5.064667407400732e-06
chirps_precipitation_mm_min,4.716091790760789e-06
ndvi_median_mean,3.169870822789408e-06
ndvi_median_growing_season_mean,2.3287918889725398e-06
ndwi_mcf_median_mean,2.196733208333547e-06
cropland_fraction,2.1788666371213324e-06
road_density_km_per_sqkm,2.053772388473795e-06
builtup_fraction,1.6237896408931532e-06
urban_fraction,1.2839229136515055e-06
distance_to_surface_water_m,1.2623828380648685e-06
permanent_water_fraction,8.422428418932625e-07
crop_area_pct_sesame,8.409674757848228e-07
crop_area_pct_maize,4.465486591373914e-07
crop_area_pct_green_gram,4.28006641753524e-07
region_sagaing,4.048077273375771e-07
crop_area_pct_tomato,3.590082024887509e-07
valid_agriculture_mask,3.0081366617567015e-07
crop_area_pct_longan,2.350555838374074e-07
crop_area_pct_chili,2.0842684045667913e-07
crop_area_pct_dry_season_rice,1.5845004223847955e-07
crop_area_pct_mangosteen,1.2212692291351304e-07
crop_area_pct_mango,1.1690897266650264e-07
crop_area_pct_black_gram,1.1656177633512864e-07
crop_area_pct_durian,4.476122737744589e-08
crop_area_pct_rubber,3.91530204057692e-08
crop_area_pct_sugarcane,3.372911474369026e-08
region_mandalay,3.125271891029265e-08
crop_area_pct_groundnut,2.2251097927685684e-08
crop_area_pct_pigeon_pea,1.4915224707196986e-08
railway_density_km_per_sqkm,1.1833141246763926e-08
crop_area_pct_cassava,8.607809729545519e-09
region_ayeyawaddy,7.099688799284089e-09
solar_radiation_mj_m2_day,1.1715190167855977e-20
chirps_precipitation_mm,0.0
surface_water_seasonality_months,0.0
mean_temperature_c,0.0
data_month,0.0
crop_area_pct_monsoon_rice,0.0
region_bago,0.0
region_magway,0.0
region_yangon,0.0
