target,type,n_train,n_test,accuracy,f1_macro,f1_weighted,cv_f1_macro_mean,cv_f1_macro_std,top5_features,mae,rmse,r2,cv_r2_mean,cv_r2_std,residual_mean,residual_std,y_test_min,y_test_max,y_pred_min,y_pred_max
crop_suitability_monsoon_rice,classification,823478,205870,0.9425,0.9425,0.9425,,,"elevation_m, mean_temperature_c_min, crop_area_pct_mangosteen, chirps_precipitation_mm_mean, crop_area_pct_monsoon_rice",,,,,,,,,,,
crop_suitability_dry_season_rice,classification,823478,205870,0.9133,0.9119,0.9141,,,"elevation_m, mean_temperature_c_min, crop_area_pct_mangosteen, crop_area_pct_monsoon_rice, crop_area_pct_maize",,,,,,,,,,,
crop_suitability_maize,classification,823478,205870,0.9258,0.9157,0.927,,,"mean_temperature_c_mean, mean_temperature_c_min, solar_radiation_mj_m2_day_max, chirps_precipitation_mm_mean, solar_radiation_mj_m2_day_mean",,,,,,,,,,,
crop_suitability_sugarcane,classification,823478,205870,0.9478,0.9331,0.9485,,,"solar_radiation_mj_m2_day_max, solar_radiation_mj_m2_day_mean, chirps_precipitation_mm_mean, mean_temperature_c_max, ndvi_median_mean",,,,,,,,,,,
crop_suitability_cassava,classification,823478,205870,0.9539,0.9672,0.9539,,,"surface_water_occurrence_pct, solar_radiation_mj_m2_day_max, era5_soil_moisture_m3_m3_cv, solar_radiation_mj_m2_day_mean, chirps_precipitation_mm_mean",,,,,,,,,,,
crop_suitability_durian,classification,823478,205870,0.9284,0.9442,0.9286,,,"surface_water_occurrence_pct, chirps_precipitation_mm_mean, solar_radiation_mj_m2_day_max, era5_soil_moisture_m3_m3_cv, solar_radiation_mj_m2_day_mean",,,,,,,,,,,
crop_suitability_mangosteen,classification,823478,205870,0.9176,0.9385,0.918,,,"surface_water_occurrence_pct, solar_radiation_mj_m2_day_max, era5_soil_moisture_m3_m3_cv, chirps_precipitation_mm_mean, solar_radiation_mj_m2_day_mean",,,,,,,,,,,
crop_suitability_longan,classification,823478,205870,0.9506,0.9619,0.9506,,,"surface_water_occurrence_pct, solar_radiation_mj_m2_day_max, era5_soil_moisture_m3_m3_cv, chirps_precipitation_mm_mean, solar_radiation_mj_m2_day_mean",,,,,,,,,,,
crop_suitability_mango,classification,823478,205870,0.9444,0.9443,0.9444,,,"surface_water_occurrence_pct, solar_radiation_mj_m2_day_max, solar_radiation_mj_m2_day_mean, era5_soil_moisture_m3_m3_cv, chirps_precipitation_mm_mean",,,,,,,,,,,
crop_suitability_chili,classification,823478,205870,0.9505,0.9234,0.9522,,,"mean_temperature_c_min, mean_temperature_c_mean, solar_radiation_mj_m2_day_max, elevation_m, era5_soil_moisture_m3_m3_cv",,,,,,,,,,,
crop_suitability_tomato,classification,823478,205870,0.8429,0.8187,0.846,,,"surface_water_occurrence_pct, crop_area_pct_monsoon_rice, crop_area_pct_mangosteen, crop_area_pct_maize, crop_area_pct_pigeon_pea",,,,,,,,,,,
crop_suitability_black_gram,classification,823478,205870,0.9494,0.9245,0.9513,,,"mean_temperature_c_mean, mean_temperature_c_min, solar_radiation_mj_m2_day_max, mean_temperature_c_max, era5_soil_moisture_m3_m3_cv",,,,,,,,,,,
crop_suitability_green_gram,classification,823478,205870,0.9423,0.9235,0.9437,,,"mean_temperature_c_mean, mean_temperature_c_min, solar_radiation_mj_m2_day_max, elevation_m, era5_soil_moisture_m3_m3_cv",,,,,,,,,,,
crop_suitability_pigeon_pea,classification,823478,205870,0.937,0.9127,0.937,,,"surface_water_occurrence_pct, solar_radiation_mj_m2_day_max, era5_soil_moisture_m3_m3_cv, solar_radiation_mj_m2_day_mean, chirps_precipitation_mm_mean",,,,,,,,,,,
crop_suitability_groundnut,classification,823478,205870,0.9461,0.9225,0.948,,,"mean_temperature_c_mean, mean_temperature_c_min, solar_radiation_mj_m2_day_max, elevation_m, solar_radiation_mj_m2_day_mean",,,,,,,,,,,
crop_suitability_sesame,classification,823478,205870,0.9278,0.9116,0.9278,,,"surface_water_occurrence_pct, solar_radiation_mj_m2_day_max, solar_radiation_mj_m2_day_mean, era5_soil_moisture_m3_m3_cv, chirps_precipitation_mm_mean",,,,,,,,,,,
crop_suitability_rubber,classification,823478,205870,0.9566,0.9566,0.9566,,,"chirps_precipitation_mm_mean, mean_temperature_c_min, solar_radiation_mj_m2_day_mean, crop_area_pct_mangosteen, crop_area_pct_sesame",,,,,,,,,,,
crop_health_score,regression,823478,205870,,,,,,"ndvi_median_growing_season_mean, ndvi_median_mean, mean_temperature_c_min, mean_temperature_c_range, solar_radiation_mj_m2_day_max",0.0079,0.0104,0.9622,,,-0.0001,0.0104,0.3901,0.8058,0.3909,0.7639
crop_yield_t_ha,regression,823478,205870,,,,,,"chirps_precipitation_mm_mean, ndvi_median_growing_season_mean, ndvi_median_mean, solar_radiation_mj_m2_day_mean, slope_degrees",0.0634,0.0821,0.9498,,,-0.0001,0.0821,1.22,3.983,1.2201,3.6649
irrigation_need,classification,823478,205870,0.9897,0.9387,0.9903,,,"surface_water_occurrence_pct, permanent_water_fraction, ndwi_mcf_median_mean, ndwi_mcf_median_max, distance_to_surface_water_m",,,,,,,,,,,
current_month_precipitation_mm,regression,823478,205870,,,,,,"chirps_precipitation_mm, chirps_precipitation_mm_max, chirps_precipitation_mm_range, solar_radiation_mj_m2_day, valid_agriculture_mask",0.3694,0.5592,1.0,,,0.0012,0.5592,0.0,1716.3784,0.0,1672.9496
current_month_mean_temperature_c,regression,823478,205870,,,,,,"mean_temperature_c, solar_radiation_mj_m2_day_mean, era5_soil_moisture_m3_m3_cv, solar_radiation_mj_m2_day_max, elevation_m",0.0211,0.0277,0.9999,,,0.0001,0.0277,5.4441,34.7012,6.0972,34.4303
current_month_solar_rad_mj_m2_day,regression,823478,205870,,,,,,"solar_radiation_mj_m2_day, solar_radiation_mj_m2_day_mean, solar_radiation_mj_m2_day_max, era5_soil_moisture_m3_m3_cv, elevation_m",0.0257,0.0354,0.9999,,,-0.0002,0.0354,0.0,26.3179,0.0,26.1048
flood_risk_level,classification,823478,205870,0.9959,0.9943,0.996,,,"surface_water_occurrence_pct, permanent_water_fraction, elevation_m, distance_to_surface_water_m, s1_vv_db_median_mean",,,,,,,,,,,
drought_risk_score,regression,823478,205870,,,,,,"era5_soil_moisture_m3_m3_min, ndwi_mcf_median_mean, ndvi_median_growing_season_mean, ndvi_median_mean, era5_soil_moisture_m3_m3_cv",0.0073,0.01,0.9906,,,-0.0,0.01,0.1846,0.8227,0.1919,0.8163
heat_stress_risk,classification,823478,205870,1.0,1.0,1.0,,,"mean_temperature_c_max, chirps_precipitation_mm_mean, mean_temperature_c_range, chirps_precipitation_mm_max, chirps_precipitation_mm_range",,,,,,,,,,,
optimal_planting_month,classification,823478,205870,1.0,1.0,1.0,,,"crop_area_pct_mangosteen, crop_area_pct_monsoon_rice, crop_area_pct_maize, crop_area_pct_sesame, crop_area_pct_pigeon_pea",,,,,,,,,,,
nitrogen_requirement_level,classification,823478,205870,0.9987,0.997,0.9987,,,"soil_soc_g_kg_0_30cm, chirps_precipitation_mm_mean, distance_to_railway_km, chirps_precipitation_mm_max, mean_temperature_c_min",,,,,,,,,,,
phosphorus_requirement_level,classification,823478,205870,1.0,1.0,1.0,,,"soil_ph_h2o_0_30cm, soil_cec_cmol_kg_0_30cm, elevation_m, mean_temperature_c_min, solar_radiation_mj_m2_day_mean",,,,,,,,,,,
soil_erosion_risk,classification,823478,205870,1.0,1.0,1.0,,,"slope_degrees, chirps_precipitation_mm_range, chirps_precipitation_mm_max, mean_temperature_c_max, chirps_precipitation_mm_mean",,,,,,,,,,,
market_integration_score,regression,823478,205870,,,,,,"distance_to_railway_km, distance_to_road_km, road_density_km_per_sqkm, railway_density_km_per_sqkm, non_cropland_fraction",0.0051,0.0068,0.9982,,,-0.0,0.0068,0.0,0.9957,0.0,0.9947
post_harvest_loss_risk,regression,823478,205870,,,,,,"distance_to_road_km, road_density_km_per_sqkm, non_cropland_fraction, cropland_fraction, distance_to_river_km",0.0093,0.0118,0.9892,,,-0.0,0.0118,0.0073,0.8254,0.0104,0.8254
supply_chain_efficiency,regression,823478,205870,,,,,,"population_density, distance_to_road_km, distance_to_railway_km, non_cropland_fraction, road_density_km_per_sqkm",0.0109,0.0148,0.9899,,,0.0,0.0148,0.025,0.8585,0.0253,0.846
cold_chain_potential,regression,823478,205870,,,,,,"population_density, road_density_km_per_sqkm, builtup_fraction, urban_fraction, distance_to_road_km",0.0037,0.0063,0.9961,,,0.0,0.0063,0.0,1.0,0.0009,1.0
agricultural_land_conversion_risk,regression,823478,205870,,,,,,"population_density, non_cropland_fraction, road_density_km_per_sqkm, cropland_fraction, urban_fraction",0.0042,0.0082,0.9898,,,0.0,0.0082,0.0,0.8578,0.0004,0.8574
urban_encroachment_risk,regression,823478,205870,,,,,,"population_density, distance_to_road_km, urban_fraction, builtup_fraction, road_density_km_per_sqkm",0.0045,0.0062,0.997,,,0.0,0.0062,0.0002,0.9998,0.0018,0.9996
irrigation_potential,regression,823478,205870,,,,,,"river_density_km_per_sqkm, surface_water_occurrence_pct, distance_to_river_km, permanent_water_fraction, ndvi_median_min",0.0097,0.0135,0.9928,,,0.0001,0.0135,0.0,0.9999,0.0121,0.9975
surface_water_occurrence,regression,823478,205870,,,,,,"surface_water_occurrence_pct, permanent_water_fraction, crop_area_pct_dry_season_rice, population_density, crop_area_pct_durian",0.0058,0.0127,0.9951,,,0.0,0.0127,0.0,0.9477,0.0,0.9477
water_scarcity_risk,regression,823478,205870,,,,,,"chirps_precipitation_mm_mean, river_density_km_per_sqkm, era5_soil_moisture_m3_m3_mean, era5_soil_moisture_m3_m3_min, era5_soil_moisture_m3_m3_max",0.006,0.0087,0.9942,,,0.0,0.0087,0.0,0.6062,0.0012,0.5976
agricultural_gdp_forecast,regression,823478,205870,,,,,,"cropland_fraction, distance_to_road_km, non_cropland_fraction, distance_to_railway_km, solar_radiation_mj_m2_day_mean",0.0113,0.0147,0.9765,,,-0.0,0.0147,0.201,0.682,0.2018,0.6752
