region,rank,crop,suitability_score,excellent_pct,good_pct,suitable_pct,moderate_pct,poor_pct,total_samples
Ayeyawaddy,1,dry_season_rice,94.51,78.87,20.54,99.4,0.6,0.0,133056
Ayeyawaddy,2,monsoon_rice,94.16,77.68,21.58,99.26,0.74,0.0,133056
Ayeyawaddy,3,groundnut,73.05,0.0,94.42,94.42,5.58,0.0,133056
Ayeyawaddy,4,green_gram,72.97,0.0,94.2,94.2,5.8,0.0,133056
Ayeyawaddy,5,chili,72.93,0.0,94.09,94.09,5.91,0.0,133056
Ayeyawaddy,6,black_gram,72.93,0.0,94.07,94.07,5.93,0.0,133056
Ayeyawaddy,7,sugarcane,72.5,0.0,92.86,92.86,7.14,0.0,133056
Ayeyawaddy,8,rubber,72.5,0.0,92.86,92.86,7.14,0.0,133056
Ayeyawaddy,9,maize,70.96,0.0,88.47,88.47,11.53,0.0,133056
Ayeyawaddy,10,mangosteen,46.09,0.0,22.92,22.92,72.25,4.84,133056
Ayeyawaddy,11,sesame,44.62,0.0,17.19,17.19,79.32,3.5,133056
Ayeyawaddy,12,pigeon_pea,43.33,0.0,13.76,13.76,82.51,3.72,133056
Ayeyawaddy,13,durian,41.86,0.0,10.94,10.94,84.15,4.91,133056
Ayeyawaddy,14,cassava,40.61,0.0,6.32,6.32,89.66,4.02,133056
Ayeyawaddy,15,mango,40.48,0.0,5.8,5.8,90.33,3.87,133056
Ayeyawaddy,16,longan,38.34,0.0,0.52,0.52,94.87,4.61,133056
Ayeyawaddy,17,tomato,28.45,0.0,0.0,0.0,71.13,28.87,133056
Bago,1,dry_season_rice,84.38,37.7,62.17,99.87,0.13,0.0,153351
Bago,2,monsoon_rice,82.45,31.44,67.4,98.84,1.16,0.0,153351
Bago,3,rubber,71.41,0.0,89.74,89.74,10.26,0.0,153351
Bago,4,sugarcane,71.05,0.0,88.7,88.7,11.3,0.0,153351
Bago,5,groundnut,70.94,0.0,88.41,88.41,11.59,0.0,153351
Bago,6,black_gram,70.71,0.0,87.75,87.75,12.25,0.0,153351
Bago,7,green_gram,70.37,0.0,86.78,86.78,13.22,0.0,153351
Bago,8,chili,69.94,0.0,85.53,85.53,14.47,0.0,153351
