feature,importance
surface_water_occurrence_pct,0.13778624807380066
solar_radiation_mj_m2_day_mean,0.0800108485293499
solar_radiation_mj_m2_day_max,0.0784206329923033
era5_soil_moisture_m3_m3_cv,0.07498026300437044
chirps_precipitation_mm_mean,0.04396657966589381
permanent_water_fraction,0.03367928481145649
soil_cec_cmol_kg_0_30cm,0.02921623557462762
elevation_m,0.028049611745241114
mean_temperature_c_min,0.02779984942632211
soil_soc_g_kg_0_30cm,0.02651921026289819
mean_temperature_c_range,0.025312857139452593
chirps_precipitation_mm_range,0.024520708260701247
chirps_precipitation_mm_max,0.024207043472170165
mean_temperature_c_max,0.021234663380139254
era5_soil_moisture_m3_m3_min,0.020138234000996166
mean_temperature_c_mean,0.018428050980561266
distance_to_railway_km,0.0163186957164721
era5_soil_moisture_m3_m3_mean,0.016032855340145633
crop_area_pct_green_gram,0.013811079016586129
crop_area_pct_mangosteen,0.013234325692491734
crop_area_pct_durian,0.011970110284793134
crop_area_pct_black_gram,0.010920669550196029
distance_to_surface_water_m,0.010828136983915075
crop_area_pct_dry_season_rice,0.010794900112011162
era5_soil_moisture_m3_m3_max,0.010669333068001328
crop_area_pct_sesame,0.010444522766014593
crop_area_pct_maize,0.01039736881848086
crop_area_pct_monsoon_rice,0.010144769857225924
crop_area_pct_pigeon_pea,0.009761048239098671
soil_ph_h2o_0_30cm,0.008849951022273513
crop_area_pct_groundnut,0.008021921968513469
chirps_precipitation_mm_min,0.007901525145137058
ndwi_mcf_median_mean,0.007867346366695664
ndvi_median_mean,0.007821399132215297
slope_degrees,0.007201932804556025
s1_vv_db_median_mean,0.007193453205293832
chirps_precipitation_mm_cv,0.007000203178790634
ndvi_median_growing_season_mean,0.0069271722690242106
distance_to_river_km,0.006245673419614277
s1_vh_db_median_mean,0.005962265580208987
ndvi_median_max,0.005806064682841069
cropland_fraction,0.005305175459964412
ndvi_median_min,0.00524298147665529
non_cropland_fraction,0.004981459800603127
ndwi_mcf_median_max,0.004285571174733697
soil_sand_pct_0_30cm,0.004231814933392087
crop_area_pct_mango,0.00421279219147606
crop_area_pct_tomato,0.004027295796984546
soil_clay_pct_0_30cm,0.003710249666792479
population_density,0.0034603233807827868
soil_silt_pct_0_30cm,0.0033003575245381324
aspect_degrees,0.003005150994735241
river_density_km_per_sqkm,0.002998200920522571
distance_to_road_km,0.002547630180514485
crop_area_pct_longan,0.002367063680489365
urban_fraction,0.00169430570852742
crop_area_pct_sugarcane,0.0016684259020605355
builtup_fraction,0.0016472357503963574
crop_area_pct_rubber,0.0013021112998576263
valid_agriculture_mask,0.0006227713345255051
crop_area_pct_chili,0.0006195971223803191
road_density_km_per_sqkm,0.0005944316412127925
region_ayeyawaddy,0.0005033281672562
region_bago,0.0004392440879793288
region_sagaing,0.00022199085272786776
mean_temperature_c,0.00014475416910974845
railway_density_km_per_sqkm,0.0001421823161891493
crop_area_pct_cassava,0.00012524741314704
region_magway,7.068349160396271e-05
solar_radiation_mj_m2_day,5.927363334131861e-05
region_mandalay,4.362109801979335e-05
region_yangon,2.4337390300835075e-05
chirps_precipitation_mm,2.9839009421146893e-06
data_month,3.619973571297741e-07
surface_water_seasonality_months,0.0
